row_label_raw,row_label_full,STT,CHỈ TIÊU,Mền Bắc (*) > Triệu VND,Mền Nam > Triệu VND,Khác > Triệu VND,Điều chỉnh > Triệu VND,Tổng cộng > Triệu VND,numeric__CHỈ TIÊU,numeric__Mền Bắc (*) > Triệu VND,numeric__Mền Nam > Triệu VND,numeric__Khác > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Tổng cộng > Triệu VND
I.,I.,I.,Kết quả kinh doanh bộ phận trước thuế,13.079.675,12.953.682,5.422.109,308.459,31.763.925,,13079675.0,12953682.0,5422109.0,308459.0,31763925.0
I.,I.,I.,Chi phí thuế TNDN,(6.248.699),(13.627),(23.572),-,(6.285.898),,-6248699.0,-13627.0,-23572.0,,-6285898.0
I.,I.,I.,Chi phí thuế TNDN hoãn lại,4.540,-,-,-,4.540,,4540.0,,,,4540.0
II.,II.,II.,Kết quả kinh doanh bộ phận sau thuế,6.835.516,12.940.055,5.398.537,308.459,25.482.567,,6835516.0,12940055.0,5398537.0,308459.0,25482567.0
III.,III.,III.,Tài sản bộ phận,1.497.983.716,654.673.282,240.300.240,(7.569.506),2.385.387.732,,1497983716.0,654673282.0,240300240.0,-7569506.0,2385387732.0
IV.,IV.,IV.,Nợ phải trả bộ phận,1.367.019.848,641.600.790,233.603.412,(5.341.026),2.236.883.024,,1367019848.0,641600790.0,233603412.0,-5341026.0,2236883024.0
