row_label_raw,row_label_full,Bên liên quan,Quan hệ,Số dư,Phải thu/(Phải trả),Phải thu/(Phải trả)_1,numeric__Quan hệ,numeric__Số dư,numeric__Phải thu/(Phải trả),numeric__Phải thu/(Phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Quan hệ,Số dư,Số cuối năm,Số đầu năm,,,,
,,,,,Triệu VND,Triệu VND,,,,
Ngân hàng Nhà nước Việt Nam,Bên liên quan > Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Chủ sở hữu và Cơ quan quản lý trực tiếp,Tiền gửi của Ngân hàng tại NHNN,34.431.657,40.597.059,,,34431657.0,40597059.0
Ngân hàng Nhà nước Việt Nam,Bên liên quan > Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Chủ sở hữu và Cơ quan quản lý trực tiếp,Tiền vay NHNN,(9.512.869),(766.887),,,-9512869.0,-766887.0
Ngân hàng TNHH Indovina,Bên liên quan > Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng liên doanh,Tiền gửi tại Bên liên quan,14.150.662,483,,,14150662.0,483.0
Ngân hàng TNHH Indovina,Bên liên quan > Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng liên doanh,Tiền gửi của Bên liên quan,(10.733.469),(22.098),,,-10733469.0,-22098.0
Ngân hàng TNHH Indovina,Bên liên quan > Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng liên doanh,Lãi dự thu,27.735,-,,,27735.0,
Ngân hàng TNHH Indovina,Bên liên quan > Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng liên doanh,Lãi dự trả,(29.394),-,,,-29394.0,
The Bank of Tokyo-Mitsubishi UFJ,Bên liên quan > The Bank of Tokyo-Mitsubishi UFJ,The Bank of Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,Tiền gửi của Ngân hàng,37.680.280,196.921,,,37680280.0,196921.0
The Bank of Tokyo-Mitsubishi UFJ,Bên liên quan > The Bank of Tokyo-Mitsubishi UFJ,The Bank of Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,Tiền gửi tại Ngân hàng,(327.300),(180.918),,,-327300.0,-180918.0
The Bank of Tokyo-Mitsubishi UFJ,Bên liên quan > The Bank of Tokyo-Mitsubishi UFJ,The Bank of Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,Tiền Ngân Hàng vay,-,(714.098),,,,-714098.0
The Bank of Tokyo-Mitsubishi UFJ,Bên liên quan > The Bank of Tokyo-Mitsubishi UFJ,The Bank of Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,Lãi dự thu,193,-,,,193.0,
The Bank of Tokyo-Mitsubishi UFJ,Bên liên quan > The Bank of Tokyo-Mitsubishi UFJ,The Bank of Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,Lãi dự trả,-,(3.051),,,,-3051.0
