row_label_raw,row_label_full,col_0,Tổngdur nợ cho vay,Tổng tiền gửi,Các cam kếttín dụng,Công cụ tài chính pháisinh (Chênhlệch dư nợ -dur có),Kinh doanh vàđầu tư chứngkhoán (Chênhlệch dur nợ -dur có),numeric__Tổngdur nợ cho vay,numeric__Tổng tiền gửi,numeric__Các cam kếttín dụng,numeric__Công cụ tài chính pháisinh (Chênhlệch dư nợ -dur có),numeric__Kinh doanh vàđầu tư chứngkhoán (Chênhlệch dur nợ -dur có)
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,1.720.640.114,1.998.815.408,189.951.212,(390.841),218.122.782,1720640114.0,1998815408.0,189951212.0,-390841.0,218122782.0
Nước ngoài,Nước ngoài,Nước ngoài,9.267.447,5.792.139,301.406,-,61.248,9267447.0,5792139.0,301406.0,,61248.0
,,,1.729.907.561,2.004.607.547,190.252.618,(390.841),218.184.030,1729907561.0,2004607547.0,190252618.0,-390841.0,218184030.0
