row_label_raw,row_label_full,CHỈ TIÊU,EUR quy đổi > Triệu VND,USD quy đổi > Triệu VND,Vàng quy đổi > Triệu VND,Các ngoại tệ khácđược quy đổi > Triệu VND,Tổng > Triệu VND,numeric__EUR quy đổi > Triệu VND,numeric__USD quy đổi > Triệu VND,numeric__Vàng quy đổi > Triệu VND,numeric__Các ngoại tệ khácđược quy đổi > Triệu VND,numeric__Tổng > Triệu VND
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,
"Tiền mặt, vàng","Tải sản > Tiền mặt, vàng","Tiền mặt, vàng",255.481,1.098.528,22.581,147.431,1.524.021,255481.0,1098528.0,22581.0,147431.0,1524021.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,6.475,9.309.232,-,-,9.315.707,6475.0,9309232.0,,,9315707.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,1.256.788,83.865.260,-,101.359.253,186.481.301,1256788.0,83865260.0,,101359253.0,186481301.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,-,7.280,-,-,7.280,,7280.0,,,7280.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),1.623.350,80.425.515,-,3.539.588,85.588.453,1623350.0,80425515.0,,3539588.0,85588453.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,61.248,61.248,,,,61248.0,61248.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,30.487,-,-,83.134,113.621,30487.0,,,83134.0,113621.0
Tài sản Có khác (*),Tải sản > Tài sản Có khác (*),Tài sản Có khác (*),1.514.792,480.000,-,139.602,2.134.394,1514792.0,480000.0,,139602.0,2134394.0
Tổng tài sản (*),Tải sản > Tổng tài sản (*),Tổng tài sản (*),4.687.373,175.185.815,22.581,105.330.261,285.226.030,4687373.0,175185815.0,22581.0,105330261.0,285226030.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,249.890,26.173.801,-,74.384.442,100.808.133,249890.0,26173801.0,,74384442.0,100808133.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,2.571.987,97.604.314,-,3.608.344,103.784.645,2571987.0,97604314.0,,3608344.0,103784645.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,426.154,41.707.688,-,25.614.713,67.748.555,426154.0,41707688.0,,25614713.0,67748555.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",121.921,1.555.007,-,100.447,1.777.375,121921.0,1555007.0,,100447.0,1777375.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,71,-,-,71,,71.0,,,71.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,951.598,711.209,-,228.248,1.891.055,951598.0,711209.0,,228248.0,1891055.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,4.321.550,167.752.090,-,103.936.194,276.009.834,4321550.0,167752090.0,,103936194.0,276009834.0
Trạng thái tiền tệ nội bằng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,365.823,7.433.725,22.581,1.394.067,9.216.196,365823.0,7433725.0,22581.0,1394067.0,9216196.0
