row_label_raw,row_label_full,STT,CHỈ TIÊU,Dịch vụ tài chính ngân hàng > Triệu VND,Dịch vụ tài chính phi ngân hàng > Triệu VND,Khác > Triệu VND,Điều chính > Triệu VND,Tổng cộng > Triệu VND,numeric__CHỈ TIÊU,numeric__Dịch vụ tài chính ngân hàng > Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng > Triệu VND,numeric__Khác > Triệu VND,numeric__Điều chính > Triệu VND,numeric__Tổng cộng > Triệu VND
I.,I.,I.,Doanh thu,157.113.619,4.747.670,1.749.928,(534.189),163.077.028,,157113619.0,4747670.0,1749928.0,-534189.0,163077028.0
1.,1.,1.,Doanh thu lãi,123.202.268,917.860,520.613,(180.056),124.460.685,,123202268.0,917860.0,520613.0,-180056.0,124460685.0
,,,- Doanh thu lãi từ khách hàng bên ngoài,123.054.663,886.676,519.346,-,124.460.685,,123054663.0,886676.0,519346.0,,124460685.0
,,,- Doanh thu lãi từ nội bộ,147.605,31.184,1.267,(180.056),-,,147605.0,31184.0,1267.0,-180056.0,
2.,2.,2.,Doanh thu từ hoạt động dịch vụ,8.921.606,3.717.078,128.092,(533.975),12.232.801,,8921606.0,3717078.0,128092.0,-533975.0,12232801.0
3.,3.,3.,Doanh thu từ hoạt động kinh doanh khác,24.989.745,112.732,1.101.223,179.842,26.383.542,,24989745.0,112732.0,1101223.0,179842.0,26383542.0
II.,II.,II.,Chỉ phí,(99.145.997),(3.945.605),(1.490.462),867.790,(103.714.274),,-99145997.0,-3945605.0,-1490462.0,867790.0,-103714274.0
1.,1.,1.,Chỉ phí lãi,(61.734.218),(253.721),(251.316),181.363,(62.057.891),,-61734218.0,-253721.0,-251316.0,181363.0,-62057891.0
,,,- Chi phí lãi khách hàng bên ngoài,(61.691.561),(115.015),(251.315),-,(62.057.891),,-61691561.0,-115015.0,-251315.0,,-62057891.0
,,,- Chi phí lãi nội bộ,(42.656),(138.706),(1),181.363,-,,-42656.0,-138706.0,-1.0,181363.0,
2.,2.,2.,Chi phí khấu hao tài sản cố định,(995.151),(12.383),(9.871),-,(1.017.405),,-995151.0,-12383.0,-9871.0,,-1017405.0
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(36.416.628),(3.679.501),(1.229.275),686.427,(40.638.977),,-36416628.0,-3679501.0,-1229275.0,686427.0,-40638977.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,57.967.622,802.065,259.466,333.601,59.362.754,,57967622.0,802065.0,259466.0,333601.0,59362754.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(27.255.062),(315.141),(3.484),(25.142),(27.598.829),,-27255062.0,-315141.0,-3484.0,-25142.0,-27598829.0
Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,30.712.560,486.924,255.982,308.459,31.763.925,,30712560.0,486924.0,255982.0,308459.0,31763925.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,(6.131.186),(95.532),(59.180),-,(6.285.898),,-6131186.0,-95532.0,-59180.0,,-6285898.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,-,201,4.339,-,4.540,,,201.0,4339.0,,4540.0
Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,24.581.374,391.593,201.141,308.459,25.482.567,,24581374.0,391593.0,201141.0,308459.0,25482567.0
III.,III.,III.,Tài sản,2.367.790.675,16.582.910,8.583.653,(7.569.506),2.385.387.732,,2367790675.0,16582910.0,8583653.0,-7569506.0,2385387732.0
1.,1.,1.,Tiền mặt,11.102.591,2.169,42.789,-,11.147.549,,11102591.0,2169.0,42789.0,,11147549.0
2.,2.,2.,Tài sản cố định,9.828.856,113.792,59.509,-,10.002.157,,9828856.0,113792.0,59509.0,,10002157.0
3.,3.,3.,Tài sản khác,2.346.859.228,16.466.949,8.481.355,(7.569.506),2.364.238.026,,2346859228.0,16466949.0,8481355.0,-7569506.0,2364238026.0
IV.,IV.,IV.,Nợ phải trả,2.223.030.699,12.756.795,6.436.556,(5.341.026),2.236.883.024,,2223030699.0,12756795.0,6436556.0,-5341026.0,2236883024.0
1.,1.,1.,Nợ phải trả bên ngoài,2.215.631.838,12.525.298,6.396.704,(5.341.026),2.229.212.814,,2215631838.0,12525298.0,6396704.0,-5341026.0,2229212814.0
2.,2.,2.,Nợ phải trả nội bộ,7.398.861,231.497,39.852,-,7.670.210,,7398861.0,231497.0,39852.0,,7670210.0
