row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,"Tiền mặt, vàng bạc, đá quý",5,11.147.549,9.759.580,,5.0,11147549.0,9759580.0
II.,A. > II.,II.,Tiền gửi tại Ngân hàng Nhà nước (NHNN),6,34.431.657,40.597.059,,6.0,34431657.0,40597059.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,378.482.885,279.841.639,,7.0,378482885.0,279841639.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,370.530.038,259.230.017,,,370530038.0,259230017.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,7.952.847,20.611.622,,,7952847.0,20611622.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,8,2.798.875,2.487.905,,8.0,2798875.0,2487905.0
1.,A. > 1.,1.,Chứng khoán kinh doanh,,2.990.692,2.676.130,,,2990692.0,2676130.0
2.,A. > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(191.817),(188.225),,,-191817.0,-188225.0
V.,A. > V.,V.,Cho vay khách hàng,,1.685.290.589,1.445.571.643,,,1685290589.0,1445571643.0
1.,A. > 1.,1.,Cho vay khách hàng,10,1.721.954.714,1.473.344.564,,10.0,1721954714.0,1473344564.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,11,(36.664.125),(27.772.921),,11.0,-36664125.0,-27772921.0
VI.,A. > VI.,VI.,Chứng khoán đầu tư,12,214.607.153,181.210.531,,12.0,214607153.0,181210531.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,12.1,188.557.477,180.595.473,,121.0,188557477.0,180595473.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,26.635.861,864.999,,122.0,26635861.0,864999.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(586.185),(249.941),,,-586185.0,-249941.0
VII.,A. > VII.,VII.,"Góp vốn, đầu tư dài hạn",13,3.933.844,3.426.483,,13.0,3933844.0,3426483.0
1.,A. > 1.,1.,Vốn góp liên doanh,13.1,3.706.673,3.206.452,,131.0,3706673.0,3206452.0
2.,A. > 2.,2.,Đầu tư dài hạn khác,,234.462,234.462,,,234462.0,234462.0
3.,A. > 3.,3.,Dự phòng giảm giá đầu tư dài hạn,,(7.291),(14.431),,,-7291.0,-14431.0
VIII.,A. > VIII.,VIII.,Tài sản cố định,,10.002.157,10.125.534,,,10002157.0,10125534.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,14,6.149.216,6.133.262,,14.0,6149216.0,6133262.0
a.,A. > a.,a.,Nguyên gió TSCĐ,,17.253.570,16.641.464,,,17253570.0,16641464.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(11.104.354),(10.508.202),,,-11104354.0,-10508202.0
2.,A. > 2.,2.,Tài sản cố định vô hình,15,3.852.941,3.992.272,,15.0,3852941.0,3992272.0
a.,A. > a.,a.,Nguyên gió TSCĐ,,6.927.826,6.804.407,,,6927826.0,6804407.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(3.074.885),(2.812.135),,,-3074885.0,-2812135.0
IX.,A. > IX.,IX.,Tài sản Có khác,16,44.693.023,59.593.232,,16.0,44693023.0,59593232.0
1.,A. > 1.,1.,Các khoản phải thu,16.1,27.766.899,41.454.754,,161.0,27766899.0,41454754.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,13.312.631,14.761.581,,,13312631.0,14761581.0
3.,A. > 3.,3.,Tài sản thuế TNDN hoãn lại,,4.369,-,,,4369.0,
4.,A. > 4.,4.,Tài sản Có khác,16.2,3.715.565,3.483.594,,162.0,3715565.0,3483594.0
5.,A. > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bằng khác,16.3,(106.441),(106.697),,163.0,-106441.0,-106697.0
TỔNG TÀI SẢN CÓ,A. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,2.385.387.732,2.032.613.606,,,2385387732.0,2032613606.0
