row_label_raw,row_label_full,Ngày 01/01/2020 > Giá trị ghi sổ:,Dưới 1 năm > Ngày 01/01/2020 > Giá trị ghi sổ:,Từ 1 năm trở lên > Ngày 01/01/2020 > Giá trị ghi sổ:,Tổng cộng > Ngày 01/01/2020 > Giá trị ghi sổ:,numeric__Dưới 1 năm > Ngày 01/01/2020 > Giá trị ghi sổ:,numeric__Từ 1 năm trở lên > Ngày 01/01/2020 > Giá trị ghi sổ:,numeric__Tổng cộng > Ngày 01/01/2020 > Giá trị ghi sổ:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,229.730.030.066,-,229.730.030.066,229730030066.0,,229730030066.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,3.410.976.544.649,-,3.410.976.544.649,3410976544649.0,,3410976544649.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,10.000.000.000,1.224.938.734.159,1.234.938.734.159,10000000000.0,1224938734159.0,1234938734159.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,927.445.893.663,1.937.261.637.257,2.864.707.530.920,927445893663.0,1937261637257.0,2864707530920.0
Phải thu khác,Phải thu khác,Phải thu khác,583.948.147.578,965.552.378,584.913.699.956,583948147578.0,965552378.0,584913699956.0
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,-,-,-,,,
Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,-,-,,,
Tổng cộng,Dự phòng giảm giá các khoản đầu tư > Tổng cộng,Tổng cộng,5.162.100.615.956,3.163.165.923.794,8.325.266.539.750,5162100615956.0,3163165923794.0,8325266539750.0
Ngày 01/01/2020,Ngày 01/01/2020,Ngày 01/01/2020,Ngày 01/01/2020,Ngày 01/01/2020,Ngày 01/01/2020,,,
Phải trả người bán,Ngày 01/01/2020 > Phải trả người bán,Phải trả người bán,1.810.033.597.640,399.547.194.901,2.209.580.792.541,1810033597640.0,399547194901.0,2209580792541.0
"Phải trả, PN khác và chí phí phải trả","Ngày 01/01/2020 > Phải trả, PN khác và chí phí phải trả","Phải trả, PN khác và chí phí phải trả",659.493.350.597,-,659.493.350.597,659493350597.0,,659493350597.0
Các khoản vay và nợ,Ngày 01/01/2020 > Các khoản vay và nợ,Các khoản vay và nợ,2.102.473.905.459,7.451.237.562.422,9.553.711.467.881,2102473905459.0,7451237562422.0,9553711467881.0
Tổng cộng,Ngày 01/01/2020 > Tổng cộng,Tổng cộng,4.572.000.853.696,7.850.784.757.323,12.422.785.611.019,4572000853696.0,7850784757323.0,12422785611019.0
Chênh lệch thanh khoản thuần,Ngày 01/01/2020 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,590.099.762.260,(4.687.618.833.529),(4.097.519.071.269),590099762260.0,-4687618833529.0,-4097519071269.0
