row_label_raw,row_label_full,col_0,col_1,01/01/2020(VND) > Giá trị,01/01/2020(VND) > Khả năng trả nợ,31/12/2020(VND) > Giá trị,31/12/2020(VND) > Khả năng trả nợ,numeric__col_1,numeric__01/01/2020(VND) > Giá trị,numeric__01/01/2020(VND) > Khả năng trả nợ,numeric__31/12/2020(VND) > Giá trị,numeric__31/12/2020(VND) > Khả năng trả nợ
c.,c.,c.,Phân loại gốc vay nợ dài hạn đến hạn trả tại thời điểm lập BCTC,1.452.473.905.459,1.452.473.905.459,1.571.799.598.071,1.571.799.598.071,,1452473905459.0,1452473905459.0,1571799598071.0,1571799598071.0
c.1.,c.1.,c.1.,Vay dài hạn đến hạn trả,1.417.473.905.459,1.417.473.905.459,1.501.799.598.071,1.501.799.598.071,,1417473905459.0,1417473905459.0,1501799598071.0,1501799598071.0
c.1.,c.1.,c.1.,Vay Ngân hàng,606.270.864.219,606.270.864.219,691.120.364.219,691.120.364.219,,606270864219.0,606270864219.0,691120364219.0,691120364219.0
c.1.,c.1.,c.1.,Vay Tập đoàn,811.203.041.240,811.203.041.240,810.679.233.852,810.679.233.852,,811203041240.0,811203041240.0,810679233852.0,810679233852.0
c.2,c.2,c.2,Nợ dài hạn đến hạn trả,35.000.000.000,35.000.000.000,70.000.000.000,70.000.000.000,,35000000000.0,35000000000.0,70000000000.0,70000000000.0
c.2,c.2,c.2,Trái phiếu phát hành,35.000.000.000,35.000.000.000,70.000.000.000,70.000.000.000,,35000000000.0,35000000000.0,70000000000.0,70000000000.0
d.,d.,d.,Số dư tại thời điểm lập BCTC,9.553.711.467.881,9.553.711.467.881,8.553.216.773.874,8.553.216.773.874,,9553711467881.0,9553711467881.0,8553216773874.0,8553216773874.0
d.1,d.1,d.1,Vay và nợ ngắn hạn (d.1 = a + c),2.102.473.905.459,2.102.473.905.459,2.514.799.598.071,2.514.799.598.071,,2102473905459.0,2102473905459.0,2514799598071.0,2514799598071.0
d.2,d.2,d.2,Vay và nợ dài hạn (d.2 = b - c),7.451.237.562.422,7.451.237.562.422,6.038.417.175.803,6.038.417.175.803,,7451237562422.0,7451237562422.0,6038417175803.0,6038417175803.0
(*),(*),(*),Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,,,,,
(*),(*),(*),"Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 tỷ đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/7/2018 và đáo hạn ngày 31/7/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 tỷ đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/7/2018 và đáo hạn ngày 31/7/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 tỷ đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/7/2018 và đáo hạn ngày 31/7/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 tỷ đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/7/2018 và đáo hạn ngày 31/7/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 tỷ đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/7/2018 và đáo hạn ngày 31/7/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).",,,,,
