row_label_raw,row_label_full,col_0,01/01/2020(VND),Số phải nộptrong năm,Số đã thực nộptrong năm,31/12/2020(VND),numeric__01/01/2020(VND),numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__31/12/2020(VND)
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,12.041.399.599,267.584.562.333,258.175.110.807,21.450.851.125,12041399599.0,267584562333.0,258175110807.0,21450851125.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,113.321.842.152,179.653.080.504,221.180.842.152,71.794.080.504,113321842152.0,179653080504.0,221180842152.0,71794080504.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,617.090.772,3.328.222.429,3.270.853.864,674.459.337,617090772.0,3328222429.0,3270853864.0,674459337.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,4.643.307.947,57.055.030.770,51.207.478.509,10.490.860.208,4643307947.0,57055030770.0,51207478509.0,10490860208.0
Thuế đất và tiền thuê đất,Phải nộp > Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,-,2.695.672.570,2.695.672.570,-,,2695672570.0,2695672570.0,
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,33.068.128,4.129.168.898,4.162.237.026,-,33068128.0,4129168898.0,4162237026.0,
"Các khoản phí, lệ phí và các khoản phải nộp khác","Phải nộp > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",4.557.538.520,29.560.775.480,27.506.321.930,6.611.992.070,4557538520.0,29560775480.0,27506321930.0,6611992070.0
Cộng,Phải nộp > Cộng,Cộng,135.214.247.118,544.006.512.984,568.198.516.858,111.022.243.244,135214247118.0,544006512984.0,568198516858.0,111022243244.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,10.361.102.704,10.361.102.704,200.000.000,200.000.000,10361102704.0,10361102704.0,200000000.0,200000000.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,10.568.511,10.568.511,-,-,10568511.0,10568511.0,,
Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,-,-,-,-,,,,
Cộng,Thuế đất và tiền thuê đất > Cộng,Cộng,10.371.671.215,10.371.671.215,200.000.000,200.000.000,10371671215.0,10371671215.0,200000000.0,200000000.0
