row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Chênh lệch đánh giá lại TS VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch đánh giá lại TS VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.800.000.000.000,-,-,3.269.425.647,596.593.542.197,7.399.862.967.844,6800000000000.0,,,3269425647.0,596593542197.0,7399862967844.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,-,,,,,,
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,,,,,,
Lãi trong năm trước,Tăng khác > Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,551.598.250.582,551.598.250.582,,,,,551598250582.0,551598250582.0
Phân phối lợi nhuận,Tăng khác > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,(374.000.000.000),(374.000.000.000),,,,,-374000000000.0,-374000000000.0
Giảm khác,Tăng khác > Giảm khác,Giảm khác,-,-,-,-,(36.192.624.347),(36.192.624.347),,,,,-36192624347.0,-36192624347.0
Số dư cuối năm trước/ đầu năm nay,Tăng khác > Số dư cuối năm trước/ đầu năm nay,Số dư cuối năm trước/ đầu năm nay,6.800.000.000.000,-,-,3.269.425.647,737.999.168.432,7.541.268.594.079,6800000000000.0,,,3269425647.0,737999168432.0,7541268594079.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,-,,,,,,
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,,,,,,
Lãi trong năm nay,Tăng khác > Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,644.911.177.277,644.911.177.277,,,,,644911177277.0,644911177277.0
Giảm vốn trong năm nay,Giảm vốn trong năm nay,Giảm vốn trong năm nay,-,-,-,-,-,-,,,,,,
Phân phối lợi nhuận (*),Giảm vốn trong năm nay > Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,-,-,-,(538.460.000.000),(538.460.000.000),,,,,-538460000000.0,-538460000000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,,,,,,
Số dư cuối năm,Giảm khác > Số dư cuối năm,Số dư cuối năm,6.800.000.000.000,-,-,3.269.425.647,844.450.345.709,7.647.719.771.356,6800000000000.0,,,3269425647.0,844450345709.0,7647719771356.0
