row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2020,Giá trị ghi sổ > 01/01/2020,Giá trị hợp lý > 31/12/2020,Giá trị hợp lý > 01/01/2020,numeric__Giá trị ghi sổ > 31/12/2020,numeric__Giá trị ghi sổ > 01/01/2020,numeric__Giá trị hợp lý > 31/12/2020,numeric__Giá trị hợp lý > 01/01/2020
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư tài chính,Tài sản tài chính > Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,1.249.638.734.159,1.234.938.734.159,1.249.638.734.159,1.234.938.734.159,1249638734159.0,1234938734159.0,1249638734159.0,1234938734159.0
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,3.776.519.367.374,3.410.976.544.649,3.776.519.367.374,3.410.976.544.649,3776519367374.0,3410976544649.0,3776519367374.0,3410976544649.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,3.080.182.378.560,3.449.621.230.876,3.080.182.378.560,3.449.621.230.876,3080182378560.0,3449621230876.0,3080182378560.0,3449621230876.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,413.810.821.504,229.730.030.066,413.810.821.504,229.730.030.066,413810821504.0,229730030066.0,413810821504.0,229730030066.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,8.520.151.301.597,8.325.266.539.750,8.520.151.301.597,8.325.266.539.750,8520151301597.0,8325266539750.0,8520151301597.0,8325266539750.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,2.670.248.620.949,2.209.580.792.541,2.670.248.620.949,2.209.580.792.541,2670248620949.0,2209580792541.0,2670248620949.0,2209580792541.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,57.976.186.947,659.493.350.597,57.976.186.947,659.493.350.597,57976186947.0,659493350597.0,57976186947.0,659493350597.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,8.553.216.773.874,9.553.711.467.881,8.553.216.773.874,9.553.711.467.881,8553216773874.0,9553711467881.0,8553216773874.0,9553711467881.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,11.281.441.581.770,12.422.785.611.019,11.281.441.581.770,12.422.785.611.019,11281441581770.0,12422785611019.0,11281441581770.0,12422785611019.0
