row_label_raw,row_label_full,CHỈ TIỀU,Mã số,TM,Năm 2020,Năm 2019,numeric__Mã số,numeric__TM,numeric__Năm 2020,numeric__Năm 2019
LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KD,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KD,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KD,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KD,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KD,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KD,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KD,,,,
Lợi nhuận trước thuế,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,619.550.062.620,585.912.885.300,1.0,,619550062620.0,585912885300.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,,
Khấu hao TSCĐ và BĐSDĐT,Điều chỉnh cho các khoản: > Khấu hao TSCĐ và BĐSDĐT,Khấu hao TSCĐ và BĐSDĐT,02,,1.105.614.450.144,1.512.434.938.018,2.0,,1105614450144.0,1512434938018.0
Các khoản dự phòng,Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,,659.641.961.643,(3.702.200.037),3.0,,659641961643.0,-3702200037.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản: > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,3.578.522.927,161.237.718.485,4.0,,3578522927.0,161237718485.0
Lãi lỗ từ hoạt động đầu tư,Điều chỉnh cho các khoản: > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,,(280.384.510.827),(38.457.895.810),5.0,,-280384510827.0,-38457895810.0
Chỉ phí lãi vay,Điều chỉnh cho các khoản: > Chỉ phí lãi vay,Chỉ phí lãi vay,06,,202.468.862.667,311.599.280.185,6.0,,202468862667.0,311599280185.0
Các khoản điều chỉnh khác,Điều chỉnh cho các khoản: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,,-,-,7.0,,,
Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản: > Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,08,,2.310.469.349.174,2.529.024.726.141,8.0,,2310469349174.0,2529024726141.0
"Tăng, Giảm các khoản phải thu","Điều chỉnh cho các khoản: > Tăng, Giảm các khoản phải thu","Tăng, Giảm các khoản phải thu",09,,(400.676.604.794),(622.925.236.464),9.0,,-400676604794.0,-622925236464.0
"Tăng, Giảm hàng tồn kho","Điều chỉnh cho các khoản: > Tăng, Giảm hàng tồn kho","Tăng, Giảm hàng tồn kho",10,,(23.181.760.246),(12.306.040.465),10.0,,-23181760246.0,-12306040465.0
"Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Điều chỉnh cho các khoản: > Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)",11,,476.025.214.316,735.967.686.082,11.0,,476025214316.0,735967686082.0
"Tăng, Giảm chi phí trả trước","Điều chỉnh cho các khoản: > Tăng, Giảm chi phí trả trước","Tăng, Giảm chi phí trả trước",12,,(36.896.617.060),148.234.906.427,12.0,,-36896617060.0,148234906427.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(733.962.688.718),(536.091.902.231),14.0,,-733962688718.0,-536091902231.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(221.180.842.152),(69.871.256.632),15.0,,-221180842152.0,-69871256632.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,9.569.258.638,14.786.692.382,16.0,,9569258638.0,14786692382.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(40.940.728.040),(37.455.639.989),17.0,,-40940728040.0,-37455639989.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.339.224.581.118,2.149.363.935.251,20.0,,1339224581118.0,2149363935251.0
LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
