row_label_raw,row_label_full,NGUÒN VỐN,Mã số,TM,31/12/2020,01/01/2020,numeric__Mã số,numeric__TM,numeric__31/12/2020,numeric__01/01/2020
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,11.549.074.617.893,12.610.058.732.408,300.0,,11549074617893.0,12610058732408.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,5.093.247.224.433,4.741.152.958.014,310.0,,5093247224433.0,4741152958014.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,5.11,2.270.959.420.363,1.810.033.597.640,311.0,511.0,2270959420363.0,1810033597640.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,1.456.895.800,600.000.000,312.0,,1456895800.0,600000000.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,5.13,111.022.243.244,135.214.247.118,313.0,513.0,111022243244.0,135214247118.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,111.753.013.862,68.479.036.633,314.0,,111753013862.0,68479036633.0
Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,315,5.14,46.351.257.304,575.649.163.174,315.0,514.0,46351257304.0,575649163174.0
Phải trả nội bộ ngắn hạn,Phải trả nội bộ ngắn hạn,Phải trả nội bộ ngắn hạn,316,,-,-,316.0,,,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,5.15,11.624.929.643,15.365.150.790,319.0,515.0,11624929643.0,15365150790.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,5.12,2.514.799.598.071,2.102.473.905.459,320.0,512.0,2514799598071.0,2102473905459.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,25.279.866.146,33.337.857.200,322.0,,25279866146.0,33337857200.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,6.455.827.393.460,7.868.905.774.394,330.0,,6455827393460.0,7868905774394.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,5.11,399.289.200.586,399.547.194.901,331.0,511.0,399289200586.0,399547194901.0
Phải trả nội bộ về vốn kinh doanh,Phải trả nội bộ về vốn kinh doanh,Phải trả nội bộ về vốn kinh doanh,334,,-,,334.0,,,
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,5.12,6.038.417.175.803,7.451.237.562.422,338.0,512.0,6038417175803.0,7451237562422.0
Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,343,,18.121.017.071,18.121.017.071,343.0,,18121017071.0,18121017071.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,,7.647.719.771.356,7.541.268.594.079,400.0,,7647719771356.0,7541268594079.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,5.17,7.647.719.771.356,7.541.268.594.079,410.0,517.0,7647719771356.0,7541268594079.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,6.800.000.000.000,6.800.000.000.000,411.0,,6800000000000.0,6800000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,6.800.000.000.000,6.800.000.000.000,,,6800000000000.0,6800000000000.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,3.269.425.647,3.269.425.647,418.0,,3269425647.0,3269425647.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,844.450.345.709,737.999.168.432,421.0,,844450345709.0,737999168432.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,199.539.168.432,186.400.917.850,,,199539168432.0,186400917850.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,,644.911.177.277,551.598.250.582,,,644911177277.0,551598250582.0
TỔNG CỘNG NGUÒN VỐN,TỔNG CỘNG NGUÒN VỐN,TỔNG CỘNG NGUÒN VỐN,440,,19.196.794.389.249,20.151.327.326.487,440.0,,19196794389249.0,20151327326487.0
