row_label_raw,row_label_full,col_0,31/12/2020(VND),01/01/2020(VND),numeric__31/12/2020(VND),numeric__01/01/2020(VND)
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,1.747.132.898,804.261.136,1747132898.0,804261136.0
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",1.416.292.255,366.521.716,1416292255.0,366521716.0
Chi phí bảo hiểm,Chi phí bảo hiểm,Chi phí bảo hiểm,201.608.845,326.804.524,201608845.0,326804524.0
Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,129.231.798,110.934.896,129231798.0,110934896.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,230.646.707.382,194.692.962.084,230646707382.0,194692962084.0
Công cụ dụng cụ phân bổ nhiều năm,Công cụ dụng cụ phân bổ nhiều năm,Công cụ dụng cụ phân bổ nhiều năm,9.381.144.203,10.172.178.113,9381144203.0,10172178113.0
Chi phí sửa chữa lớn chờ phân bổ,Chi phí sửa chữa lớn chờ phân bổ,Chi phí sửa chữa lớn chờ phân bổ,188.364.671.519,157.136.733.825,188364671519.0,157136733825.0
Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,31.179.516.355,27.005.656.390,31179516355.0,27005656390.0
Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,1.721.375.305,378.393.756,1721375305.0,378393756.0
Cộng,Cộng,Cộng,232.393.840.280,195.497.223.220,232393840280.0,195497223220.0
