row_label_raw,row_label_full,col_0,Năm 2020(VND),numeric__Năm 2020(VND)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,619.550.062.620,619550062620.0
"Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:","Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:","Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:",759.061.379.896,759061379896.0
- Các khoản điều chỉnh tăng,- Các khoản điều chỉnh tăng,- Các khoản điều chỉnh tăng,1.034.723.327.175,1034723327175.0
Chi phí không hợp lệ,Chi phí không hợp lệ,Chi phí không hợp lệ,9.652.351.372,9652351372.0
Điều chỉnh tăng lợi nhuận trước thuế do hoàn nhập dự phòng theo Thông tư 48/2019/TT-BTC,Điều chỉnh tăng lợi nhuận trước thuế do hoàn nhập dự phòng theo Thông tư 48/2019/TT-BTC,Điều chỉnh tăng lợi nhuận trước thuế do hoàn nhập dự phòng theo Thông tư 48/2019/TT-BTC,1.025.070.975.803,1025070975803.0
- Các khoản điều chỉnh giảm,- Các khoản điều chỉnh giảm,- Các khoản điều chỉnh giảm,(275.661.947.279),-275661947279.0
Thu nhập được miễn thuế,Thu nhập được miễn thuế,Thu nhập được miễn thuế,(275.661.947.279),-275661947279.0
Tổng thu nhập chịu thuế,Tổng thu nhập chịu thuế,Tổng thu nhập chịu thuế,1.378.611.442.516,1378611442516.0
Chuyển lỗ năm trước,Chuyển lỗ năm trước,Chuyển lỗ năm trước,-,
Thu nhập tính thuế,Chuyển lỗ năm trước > Thu nhập tính thuế,Thu nhập tính thuế,1.378.611.442.516,1378611442516.0
Thuế TNDN phải nộp,Chuyển lỗ năm trước > Thuế TNDN phải nộp,Thuế TNDN phải nộp,275.722.288.503,275722288503.0
Thuế TNDN được miễn giảm (*),Chuyển lỗ năm trước > Thuế TNDN được miễn giảm (*),Thuế TNDN được miễn giảm (*),(96.069.207.999),-96069207999.0
Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước,Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước,Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước,-,
Tổng chi phí thuế TNDN hiện hành,Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước > Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,179.653.080.504,179653080504.0
