row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2020,01/01/2020,numeric__Mã số,numeric__TM,numeric__31/12/2020,numeric__01/01/2020
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,5.719.606.694.282,5.320.823.062.211,100.0,,5719606694282.0,5320823062211.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5.1,413.810.821.504,229.730.030.066,110.0,51.0,413810821504.0,229730030066.0
Tiền,Tiền,Tiền,111,,413.810.821.504,229.730.030.066,111.0,,413810821504.0,229730030066.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,-,-,112.0,,,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5.2,24.700.000.000,10.000.000.000,120.0,52.0,24700000000.0,10000000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,24.700.000.000,10.000.000.000,123.0,,24700000000.0,10000000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,5.104.169.178.401,4.926.610.253.160,130.0,,5104169178401.0,4926610253160.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5.4,3.776.519.367.374,3.410.976.544.649,131.0,54.0,3776519367374.0,3410976544649.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,13.957.565.103,3.710.747.270,132.0,,13957565103.0,3710747270.0
Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,133,,226.114.905,-,133.0,,226114905.0,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,5.3,1.232.293.893.663,927.445.893.663,135.0,53.0,1232293893663.0,927445893663.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5.5,81.172.237.356,584.477.067.578,136.0,55.0,81172237356.0,584477067578.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,,-,-,139.0,,,
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,5.6,113.981.952.131,100.160.213.884,140.0,56.0,113981952131.0,100160213884.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,113.981.952.131,100.160.213.884,141.0,,113981952131.0,100160213884.0
Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),149,,-,-,149.0,,,
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,62.944.742.246,54.322.565.101,150.0,,62944742246.0,54322565101.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,5.10,1.747.132.898,804.261.136,151.0,510.0,1747132898.0,804261136.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,60.997.609.348,43.146.632.750,152.0,,60997609348.0,43146632750.0
Thuế và các khoản khác phải thu nhà nước,Thuế và các khoản khác phải thu nhà nước,Thuế và các khoản khác phải thu nhà nước,153,,200.000.000,10.371.671.215,153.0,,200000000.0,10371671215.0
