row_label_raw,row_label_full,col_0,31/12/2020(VND) > Giá gốc,31/12/2020(VND) > Giá trị hợp lý,31/12/2020(VND) > Dự phòng,01/01/2020(VND) > Giá gốc,01/01/2020(VND) > Giá trị hợp lý,01/01/2020(VND) > Dự phòng,numeric__31/12/2020(VND) > Giá gốc,numeric__31/12/2020(VND) > Giá trị hợp lý,numeric__31/12/2020(VND) > Dự phòng,numeric__01/01/2020(VND) > Giá gốc,numeric__01/01/2020(VND) > Giá trị hợp lý,numeric__01/01/2020(VND) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.232.293.893.663,1.232.293.893.663,-,927.445.893.663,927.445.893.663,-,1232293893663.0,1232293893663.0,,927445893663.0,927445893663.0,
Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,1.209.742.347.827,1.209.742.347.827,-,914.670.347.827,914.670.347.827,-,1209742347827.0,1209742347827.0,,914670347827.0,914670347827.0,
+ Gốc vay ngắn hạn,+ Gốc vay ngắn hạn,+ Gốc vay ngắn hạn,943.000.000.000,943.000.000.000,-,754.000.000.000,754.000.000.000,-,943000000000.0,943000000000.0,,754000000000.0,754000000000.0,
+ Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,266.742.347.827,266.742.347.827,-,160.670.347.827,160.670.347.827,-,266742347827.0,266742347827.0,,160670347827.0,160670347827.0,
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,22.551.545.836,22.551.545.836,-,12.775.545.836,12.775.545.836,-,22551545836.0,22551545836.0,,12775545836.0,12775545836.0,
+ Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,22.551.545.836,22.551.545.836,-,12.775.545.836,12.775.545.836,-,22551545836.0,22551545836.0,,12775545836.0,12775545836.0,
Dài hạn,Dài hạn,Dài hạn,1.766.516.247.541,1.766.516.247.541,-,1.937.261.637.257,1.937.261.637.257,-,1766516247541.0,1766516247541.0,,1937261637257.0,1937261637257.0,
Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,1.490.402.260.865,1.490.402.260.865,-,1.726.596.104.745,1.726.596.104.745,-,1490402260865.0,1490402260865.0,,1726596104745.0,1726596104745.0,
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,276.113.986.676,276.113.986.676,-,210.665.532.512,210.665.532.512,-,276113986676.0,276113986676.0,,210665532512.0,210665532512.0,
Cộng,Cộng,Cộng,2.998.810.141.204,2.998.810.141.204,-,2.864.707.530.920,2.864.707.530.920,-,2998810141204.0,2998810141204.0,,2864707530920.0,2864707530920.0,
