row_label_raw,row_label_full,col_0,Doanh thu bán hàngVND,Doanh thu cung cấp dịch vụVND,Tổng cộngVND,numeric__Doanh thu bán hàngVND,numeric__Doanh thu cung cấp dịch vụVND,numeric__Tổng cộngVND
Năm 2019,Năm 2019,Năm 2019,Năm 2019,Năm 2019,Năm 2019,,,
Doanh thu,Năm 2019 > Doanh thu,Doanh thu,10.912.297.543.423,147.954.424.638,11.060.251.968.061,10912297543423.0,147954424638.0,11060251968061.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,9.588.802.691.790,146.207.192.837,9.735.009.884.627,9588802691790.0,146207192837.0,9735009884627.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.323.494.851.633,1.747.231.801,1.325.242.083.434,1323494851633.0,1747231801.0,1325242083434.0
Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,,,
Doanh thu,Năm 2020 > Doanh thu,Doanh thu,11.192.369.348.207,90.433.556.667,11.282.802.904.874,11192369348207.0,90433556667.0,11282802904874.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,9.758.965.403.855,86.352.314.643,9.845.317.718.498,9758965403855.0,86352314643.0,9845317718498.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.433.403.944.352,4.081.242.024,1.437.485.186.376,1433403944352.0,4081242024.0,1437485186376.0
