row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND","Phương tiện vântải, truyền dẫnVND","Thiết bị, dụng cụquản lýVND",TSCĐ hữuhình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND","numeric__Phương tiện vântải, truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__TSCĐ hữuhình khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.787.982.023.168,14.666.266.916.781,249.233.507.288,53.362.493.436,254.225.555.964,22.011.070.496.637,6787982023168.0,14666266916781.0,249233507288.0,53362493436.0,254225555964.0,22011070496637.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,33.975.444.672,3.968.899.421,1.765.500.000,-,39.709.844.093,,33975444672.0,3968899421.0,1765500000.0,,39709844093.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,45.675.717.842,71.423.530.051,-,-,1.338.238.222,118.437.486.115,45675717842.0,71423530051.0,,,1338238222.0,118437486115.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,4.764.184.432,23.430.158.691,-,(134.018.182),282.592.052,28.342.916.993,4764184432.0,23430158691.0,,-134018182.0,282592052.0,28342916993.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(147.890.909),(12.458.224.291),-,-,-,(12.606.115.200),-147890909.0,-12458224291.0,,,,-12606115200.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,(23.957.655.819),(10.789.225.329),-,(323.400.000),-,(35.070.281.148),-23957655819.0,-10789225329.0,,-323400000.0,,-35070281148.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.814.316.378.714,14.771.848.600.575,253.202.406.709,54.670.575.254,255.846.386.238,22.149.884.347.490,6814316378714.0,14771848600575.0,253202406709.0,54670575254.0,255846386238.0,22149884347490.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,2.220.653.143.733,9.077.712.784.267,218.636.392.968,50.823.614.983,236.244.674.328,11.804.070.610.279,2220653143733.0,9077712784267.0,218636392968.0,50823614983.0,236244674328.0,11804070610279.0
