row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,Năm 2020,Năm 2019,numeric__Mã số,numeric__TM,numeric__Năm 2020,numeric__Năm 2019
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,11.282.802.904.874,11.060.251.968.061,1.0,61.0,11282802904874.0,11060251968061.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,10,,11.282.802.904.874,11.060.251.968.061,10.0,,11282802904874.0,11060251968061.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,6.2,9.845.317.718.498,9.735.009.884.627,11.0,62.0,9845317718498.0,9735009884627.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.437.485.186.376,1.325.242.083.434,20.0,,1437485186376.0,1325242083434.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,6.3,311.429.937.231,54.736.370.860,21.0,63.0,311429937231.0,54736370860.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,6.4,887.372.193.016,565.494.684.420,22.0,64.0,887372193016.0,565494684420.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,202.468.862.667,311.599.280.185,23.0,,202468862667.0,311599280185.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,6.7,-,-,25.0,67.0,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,6.7,232.813.415.419,229.372.709.049,26.0,67.0,232813415419.0,229372709049.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,628.729.515.172,585.111.060.825,30.0,,628729515172.0,585111060825.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,6.5,364.994.896,4.531.209.429,31.0,65.0,364994896.0,4531209429.0
Chi phí khác,Chi phí khác,Chi phí khác,32,6.6,9.544.447.448,3.729.384.954,32.0,66.0,9544447448.0,3729384954.0
Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),40,,(9.179.452.552),801.824.475,40.0,,-9179452552.0,801824475.0
Tổng lợi nhuận kế toán trước thuế (50=30+40),Tổng lợi nhuận kế toán trước thuế (50=30+40),Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,619.550.062.620,585.912.885.300,50.0,,619550062620.0,585912885300.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,6.9,179.653.080.504,144.308.635.301,51.0,69.0,179653080504.0,144308635301.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,(205.014.195.161),(109.994.000.583),52.0,,-205014195161.0,-109994000583.0
Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),60,,644.911.177.277,551.598.250.582,60.0,,644911177277.0,551598250582.0
