row_label_raw,row_label_full,col_0,col_1,01/01/2020(VND) > Giá trị,01/01/2020(VND) > Khả năngtrả nợ,Tăng trong năm,Giảm trong năm,31/12/2020(VND) > Giá trị,31/12/2020(VND) > Khả năngtrả nợ,numeric__col_1,numeric__01/01/2020(VND) > Giá trị,numeric__01/01/2020(VND) > Khả năngtrả nợ,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__31/12/2020(VND) > Giá trị,numeric__31/12/2020(VND) > Khả năngtrả nợ
a.,a.,a.,Gốc vay ngắn hạn,650.000.000.000,650.000.000.000,3.263.000.000.000,2.970.000.000.000,943.000.000.000,943.000.000.000,,650000000000.0,650000000000.0,3263000000000.0,2970000000000.0,943000000000.0,943000000000.0
a.1,a.1,a.1,Gốc vay ngắn hạn,650.000.000.000,650.000.000.000,3.263.000.000.000,2.970.000.000.000,943.000.000.000,943.000.000.000,,650000000000.0,650000000000.0,3263000000000.0,2970000000000.0,943000000000.0,943000000000.0
,,,Vay ngân hàng,650.000.000.000,650.000.000.000,3.263.000.000.000,2.970.000.000.000,943.000.000.000,943.000.000.000,,650000000000.0,650000000000.0,3263000000000.0,2970000000000.0,943000000000.0,943000000000.0
b.,b.,b.,Gốc vay và nợ dài hạn,8.903.711.467.881,8.903.711.467.881,862.897.918.670,2.156.392.612.677,7.610.216.773.874,7.610.216.773.874,,8903711467881.0,8903711467881.0,862897918670.0,2156392612677.0,7610216773874.0,7610216773874.0
b1.,b1.,b1.,Gốc vay dài hạn,8.503.711.467.881,8.503.711.467.881,862.897.918.670,2.121.392.612.677,7.245.216.773.874,7.245.216.773.874,,8503711467881.0,8503711467881.0,862897918670.0,2121392612677.0,7245216773874.0,7245216773874.0
-,-,-,Từ 1 năm đến 5 năm,27.637.107.534,27.637.107.534,14.159.000.000,13.030.785.034,28.765.322.500,28.765.322.500,,27637107534.0,27637107534.0,14159000000.0,13030785034.0,28765322500.0,28765322500.0
,,,Vay ngân hàng,27.637.107.534,27.637.107.534,14.159.000.000,13.030.785.034,28.765.322.500,28.765.322.500,,27637107534.0,27637107534.0,14159000000.0,13030785034.0,28765322500.0,28765322500.0
-,-,-,Trên 5 năm,8.476.074.360.347,8.476.074.360.347,848.738.918.670,2.108.361.827.643,7.216.451.451.374,7.216.451.451.374,,8476074360347.0,8476074360347.0,848738918670.0,2108361827643.0,7216451451374.0,7216451451374.0
,,,Vay ngân hàng,3.927.596.461.918,3.927.596.461.918,766.423.624.176,724.917.556.004,3.969.102.530.090,3.969.102.530.090,,3927596461918.0,3927596461918.0,766423624176.0,724917556004.0,3969102530090.0,3969102530090.0
,,,Vay Tập đoàn,4.548.477.898.429,4.548.477.898.429,82.315.294.494,1.383.444.271.639,3.247.348.921.284,3.247.348.921.284,,4548477898429.0,4548477898429.0,82315294494.0,1383444271639.0,3247348921284.0,3247348921284.0
b2.,b2.,b2.,Gốc nợ dài hạn,400.000.000.000,400.000.000.000,-,35.000.000.000,365.000.000.000,365.000.000.000,,400000000000.0,400000000000.0,,35000000000.0,365000000000.0,365000000000.0
-,-,-,Từ 5 năm đến 10 năm,400.000.000.000,400.000.000.000,-,35.000.000.000,365.000.000.000,365.000.000.000,,400000000000.0,400000000000.0,,35000000000.0,365000000000.0,365000000000.0
,,,Trái phiếu phát hành (*),400.000.000.000,400.000.000.000,-,35.000.000.000,365.000.000.000,365.000.000.000,,400000000000.0,400000000000.0,,35000000000.0,365000000000.0,365000000000.0
,,,Cộng,9.553.711.467.881,9.553.711.467.881,4.125.897.918.670,5.126.392.612.677,8.553.216.773.874,8.553.216.773.874,,9553711467881.0,9553711467881.0,4125897918670.0,5126392612677.0,8553216773874.0,8553216773874.0
