row_label_raw,row_label_full,col_0,31/12/2020(VND),01/01/2020(VND),numeric__31/12/2020(VND),numeric__01/01/2020(VND)
"a. Chi phí sản xuất, kinh doanh dở dang dài hạn","a. Chi phí sản xuất, kinh doanh dở dang dài hạn","a. Chi phí sản xuất, kinh doanh dở dang dài hạn",1.053.494.656,873.587.951,1053494656.0,873587951.0
Khác,Khác,Khác,1.053.494.656,873.587.951,1053494656.0,873587951.0
b. Chi phí xây dựng cơ bản dở dang,b. Chi phí xây dựng cơ bản dở dang,b. Chi phí xây dựng cơ bản dở dang,72.239.959.991,64.555.522.607,72239959991.0,64555522607.0
- Mua sắm,- Mua sắm,- Mua sắm,-,-,,
- Xây dựng cơ bản,- Mua sắm > - Xây dựng cơ bản,- Xây dựng cơ bản,56.793.491.551,62.530.955.238,56793491551.0,62530955238.0
Xây dựng bãi thải xỉ NMND Na Dương giai đoạn 2011 - 2012 (nay là giai đoạn 2013 - 2015),- Mua sắm > Xây dựng bãi thải xỉ NMND Na Dương giai đoạn 2011 - 2012 (nay là giai đoạn 2013 - 2015),Xây dựng bãi thải xỉ NMND Na Dương giai đoạn 2011 - 2012 (nay là giai đoạn 2013 - 2015),18.132.291.906,23.659.039.307,18132291906.0,23659039307.0
Dự án Nhà máy Nhiệt điện Na Dương 2,- Mua sắm > Dự án Nhà máy Nhiệt điện Na Dương 2,Dự án Nhà máy Nhiệt điện Na Dương 2,34.287.551.485,30.192.553.413,34287551485.0,30192553413.0
Dự án khác,- Mua sắm > Dự án khác,Dự án khác,4.373.648.160,5.732.895.018,4373648160.0,5732895018.0
- Chi phí sửa chữa lớn TSCĐ,- Mua sắm > - Chi phí sửa chữa lớn TSCĐ,- Chi phí sửa chữa lớn TSCĐ,15.446.468.440,2.024.567.369,15446468440.0,2024567369.0
Hệ thống xử lý than,- Mua sắm > Hệ thống xử lý than,Hệ thống xử lý than,13.097.647.984,-,13097647984.0,
Dự án khác,- Mua sắm > Dự án khác,Dự án khác,2.348.820.456,4.971.034.869,2348820456.0,4971034869.0
Cộng,- Mua sắm > Cộng,Cộng,73.293.454.647,65.429.110.558,73293454647.0,65429110558.0
