row_label_raw,row_label_full,Loại phát hànhtheo mệnh giá,Số cuối năm(VND) > 150.000.000.000,"Kỳ hạn trả gốc và lãi > Trái phiếu trả gốc một phần hàng năm, khoản trả gốc cuối cùng vào tháng 1 năm 2023. Lãi được trả hàng quý.","Lãi suất > 8,8%/năm",numeric__Số cuối năm(VND) > 150.000.000.000,"numeric__Kỳ hạn trả gốc và lãi > Trái phiếu trả gốc một phần hàng năm, khoản trả gốc cuối cùng vào tháng 1 năm 2023. Lãi được trả hàng quý.","numeric__Lãi suất > 8,8%/năm"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,150.000.000.000,,,150000000000.0,,
Trong đó:Trái phiếu đến hạn trả,Trong đó:Trái phiếu đến hạn trả,Trong đó:Trái phiếu đến hạn trả,150.000.000.000,,,150000000000.0,,
