row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,3.395.516.166.502,2.588.121.639.609,294.638.669.340,43.890.802.624,6.322.167.278.075,3395516166502.0,2588121639609.0,294638669340.0,43890802624.0,6322167278075.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,14.363.525.561,21.059.148.173,17.183.919.971,59.400.000,52.665.993.705,14363525561.0,21059148173.0,17183919971.0,59400000.0,52665993705.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,189.091.112.869,43.321.399.624,2.612.000.000,661.113.185,235.685.625.678,189091112869.0,43321399624.0,2612000000.0,661113185.0,235685625678.0
- Phân loại từ TSCĐ thuê tài chính,Nguyên giá: > - Phân loại từ TSCĐ thuê tài chính,- Phân loại từ TSCĐ thuê tài chính,-,224.191.978.712,1.381.083.977,-,225.573.062.689,,224191978712.0,1381083977.0,,225573062689.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(66.700.659.360),(379.667.385.338),(4.201.145.540),(149.927.455),(450.719.117.693),-66700659360.0,-379667385338.0,-4201145540.0,-149927455.0,-450719117693.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,3.532.270.145.572,2.497.026.780.780,311.614.527.748,44.461.388.354,6.385.372.842.454,3532270145572.0,2497026780780.0,311614527748.0,44461388354.0,6385372842454.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,21.996.003.627,142.910.606.777,71.316.494.626,4.723.909.089,240.947.014.119,21996003627.0,142910606777.0,71316494626.0,4723909089.0,240947014119.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,980.353.606.844,986.179.496.066,157.611.149.496,21.640.121.810,2.145.784.374.216,980353606844.0,986179496066.0,157611149496.0,21640121810.0,2145784374216.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,190.947.942.243,222.472.770.584,26.012.579.342,4.976.547.323,444.409.839.492,190947942243.0,222472770584.0,26012579342.0,4976547323.0,444409839492.0
- Phân loại từ TSCĐ thuê tài chính,Giá trị khấu hao lũy kế: > - Phân loại từ TSCĐ thuê tài chính,- Phân loại từ TSCĐ thuê tài chính,-,90.327.197.009,401.255.575,-,90.728.452.584,,90327197009.0,401255575.0,,90728452584.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(14.119.653.354),(163.356.615.072),(1.594.149.119),(149.927.455),(179.220.345.000),-14119653354.0,-163356615072.0,-1594149119.0,-149927455.0,-179220345000.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,1.157.181.895.733,1.135.622.848.587,182.430.835.294,26.466.741.678,2.501.702.321.292,1157181895733.0,1135622848587.0,182430835294.0,26466741678.0,2501702321292.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.415.162.559.658,1.601.942.143.543,137.027.519.844,22.250.680.814,4.176.382.903.859,2415162559658.0,1601942143543.0,137027519844.0,22250680814.0,4176382903859.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.375.088.249.839,1.361.403.932.193,129.183.692.454,17.994.646.676,3.883.670.521.162,2375088249839.0,1361403932193.0,129183692454.0,17994646676.0,3883670521162.0
Trong đó:Tài sản sử dụng để cảm cố/thế chấp (*),Giá trị còn lại: > Trong đó:Tài sản sử dụng để cảm cố/thế chấp (*),Trong đó:Tài sản sử dụng để cảm cố/thế chấp (*),998.138.740.321,835.665.135.920,29.135.800.060,7.613.887.842,1.870.553.564.143,998138740321.0,835665135920.0,29135800060.0,7613887842.0,1870553564143.0
