row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung giao dịch,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung giao dịch,numeric__Năm nay,numeric__Năm trước
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,Phân bổ chi phí sử dụng tài sản,1.221.146.196,1.221.146.196,,,1221146196.0,1221146196.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,Cổ tức được chia,-,2.000.000.000,,,,2000000000.0
