row_label_raw,row_label_full,Số đầu năm > Giá trị (đồng thời là sốcó khả năng trả nợ),Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị (đồng thời là sốcó khả năng trả nợ),numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị (đồng thời là sốcó khả năng trả nợ)
1.962.369.357.175,1.962.369.357.175,1.962.369.357.175,8.675.831.771.070,(7.464.829.450.035),3.173.371.678.210,8675831771070.0,-7464829450035.0,3173371678210.0
371.212.368.863,371.212.368.863,371.212.368.863,728.391.853.686,(791.424.920.870),308.179.301.679,728391853686.0,-791424920870.0,308179301679.0
71.877.594.641,71.877.594.641,71.877.594.641,74.203.637.939,(73.021.965.748),73.059.266.832,74203637939.0,-73021965748.0,73059266832.0
100.000.000.000,100.000.000.000,100.000.000.000,150.000.000.000,(100.000.000.000),150.000.000.000,150000000000.0,-100000000000.0,150000000000.0
94.000.000.000,94.000.000.000,94.000.000.000,-,(94.000.000.000),-,,-94000000000.0,
2.599.459.320.679,2.599.459.320.679,2.599.459.320.679,9.628.427.262.695,(8.523.276.336.653),3.704.610.246.721,9628427262695.0,-8523276336653.0,3704610246721.0
461.251.946.960,461.251.946.960,461.251.946.960,923.276.749.862,(741.862.537.148),642.666.159.674,923276749862.0,-741862537148.0,642666159674.0
75.982.970.073,75.982.970.073,75.982.970.073,371.319.346.861,(203.719.893.257),243.582.423.677,371319346861.0,-203719893257.0,243582423677.0
150.000.000.000,150.000.000.000,150.000.000.000,-,(150.000.000.000),-,,-150000000000.0,
687.234.917.033,687.234.917.033,687.234.917.033,1.294.596.096.723,(1.095.582.430.405),886.248.583.351,1294596096723.0,-1095582430405.0,886248583351.0
