row_label_raw,row_label_full,col_0,Giá trị ghi số(đồng thời là giá trị hợp lý) > Số cuối năm,Giá trị ghi số(đồng thời là giá trị hợp lý) > Số đầu năm,numeric__Giá trị ghi số(đồng thời là giá trị hợp lý) > Số cuối năm,numeric__Giá trị ghi số(đồng thời là giá trị hợp lý) > Số đầu năm
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,114.326.245.295,105.317.423.994,114326245295.0,105317423994.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,114.326.245.295,105.317.423.994,114326245295.0,105317423994.0
