row_label_raw,row_label_full,Số đầu năm > - Trích lập trong năm (Thuyết minh số 21.1),Đơn vị tính: VND > Năm nay > 89.715.713.737 > 47.490.604.000,Đơn vị tính: VND > Năm trước > 22.114.667.737 > 113.546.424.000,numeric__Đơn vị tính: VND > Năm nay > 89.715.713.737 > 47.490.604.000,numeric__Đơn vị tính: VND > Năm trước > 22.114.667.737 > 113.546.424.000
- Tăng khác,- Tăng khác,- Tăng khác,-,115.236.000,,115236000.0
- Sử dụng trong năm,- Sử dụng trong năm,- Sử dụng trong năm,(41.673.671.830),(46.060.596.000),-41673671830.0,-46060596000.0
Số cuối năm,Số cuối năm,Số cuối năm,95.532.645.907,89.715.731.737,95532645907.0,89715731737.0
