row_label_raw,row_label_full,Bên liên quan > Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Mối quan hệ > Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Đơn vị tính: VND > Số cuối năm > 1.000.000.000,Đơn vị tính: VND > Số đầu năm > 10.000.000.000,numeric__Mối quan hệ > Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),numeric__Đơn vị tính: VND > Số cuối năm > 1.000.000.000,numeric__Đơn vị tính: VND > Số đầu năm > 10.000.000.000
,,,,1.000.000.000,10.000.000.000,,1000000000.0,10000000000.0
Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Phải trả người bán ngắn hạn (Thuyết minh số 15.1),,,,,
Công ty Cổ phần Transeco,Phải trả người bán ngắn hạn (Thuyết minh số 15.1) > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,6.425.254.184,4.902.246.483,,6425254184.0,4902246483.0
,,,,6.425.254.184,4.902.246.483,,6425254184.0,4902246483.0
