row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND Số đầu năm,Đơn vị tính: VND Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND Số đầu năm,numeric__Đơn vị tính: VND Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng đang đi trên đường,Hàng đang đi trên đường,Hàng đang đi trên đường,290.600.202.986,-,86.333.886.262,-,290600202986.0,,86333886262.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",1.008.593.953.822,-,921.322.183.900,-,1008593953822.0,,921322183900.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",14.148.458.891,-,6.297.753.788,-,14148458891.0,,6297753788.0,
Chi phí sản xuất kinh doanhđở dang,Chi phí sản xuất kinh doanhđở dang,Chi phí sản xuất kinh doanhđở dang,3.435.395.401.017,(8.812.102.456),2.826.175.226.637,-,3435395401017.0,-8812102456.0,2826175226637.0,
- Chi phí sản xuất kinhdoanh dở dang của hoạtđộng kinh doanh bấtđộng sản,- Chi phí sản xuất kinhdoanh dở dang của hoạtđộng kinh doanh bấtđộng sản,- Chi phí sản xuất kinhdoanh dở dang của hoạtđộng kinh doanh bấtđộng sản,1.297.364.849.648,-,966.734.605.776,-,1297364849648.0,,966734605776.0,
- Chi phí sản xuất kinhdoanh dở dang của cáchoạt động kinh doanhkhác,- Chi phí sản xuất kinhdoanh dở dang của cáchoạt động kinh doanhkhác,- Chi phí sản xuất kinhdoanh dở dang của cáchoạt động kinh doanhkhác,2.138.030.551.369,(8.812.102.456),1.859.440.620.861,-,2138030551369.0,-8812102456.0,1859440620861.0,
Thành phẩm,Thành phẩm,Thành phẩm,325.055.144.246,-,286.142.046.907,-,325055144246.0,,286142046907.0,
Hàng hóa,Hàng hóa,Hàng hóa,142.122.278.580,-,77.171.754.729,-,142122278580.0,,77171754729.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.215.915.439.542,(8.812.102.456),4.203.442.852.223,-,5215915439542.0,-8812102456.0,4203442852223.0,
