row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND,Số cuối năm(VND) > 950.845.461.353,Kỳ hạn trả gốc và lãi > Kỳ hạn khoản vay từ 3 đến 6 năm. Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2023 đến tháng 1 năm 2029. Lãi vay trả hàng tháng.,"Lãi suất năm > 7,3% - 12,3%",numeric__Số cuối năm(VND) > 950.845.461.353,numeric__Kỳ hạn trả gốc và lãi > Kỳ hạn khoản vay từ 3 đến 6 năm. Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2023 đến tháng 1 năm 2029. Lãi vay trả hàng tháng.,"numeric__Lãi suất năm > 7,3% - 12,3%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,950.845.461.353,,,950845461353.0,,
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,,
Vay dài hạn đến hạn trả,Trong đó > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,308.179.301.679,,,308179301679.0,,
Vay dài hạn,Trong đó > Vay dài hạn,Vay dài hạn,642.666.159.674,,,642666159674.0,,
