row_label_raw,row_label_full,col_0,Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp và các hoạt động khác,Kinh doanh con giống và chế biến thực phẩm,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp và các hoạt động khác,numeric__Kinh doanh con giống và chế biến thực phẩm,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,4.807.008.621.630,887.661.661.044,5.118.124.310.467,-,10.812.794.593.141,4807008621630.0,887661661044.0,5118124310467.0,,10812794593141.0
Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,7.014.575.054.583,64.838.296.707,1.707.794.400.616,(8.787.207.751.906),-,7014575054583.0,64838296707.0,1707794400616.0,-8787207751906.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,11.821.583.676.213,952.499.957.751,6.825.918.711.083,(8.787.207.751.906),10.812.794.593.141,11821583676213.0,952499957751.0,6825918711083.0,-8787207751906.0,10812794593141.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.277.529.188.637,326.699.881.927,359.077.075.490,(983.621.531.601),979.684.614.453,1277529188637.0,326699881927.0,359077075490.0,-983621531601.0,979684614453.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(76.051.726.129),(39.185.610.910),(34.889.342.968),-,(150.126.680.007),-76051726129.0,-39185610910.0,-34889342968.0,,-150126680007.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,1.201.477.462.508,287.514.271.017,324.187.732.522,(983.621.531.601),829.557.934.446,1201477462508.0,287514271017.0,324187732522.0,-983621531601.0,829557934446.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,8.543.293.318.157,1.107.709.766.864,4.526.322.051.883,(3.314.770.844.749),10.862.554.292.155,8543293318157.0,1107709766864.0,4526322051883.0,-3314770844749.0,10862554292155.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,8.543.293.318.157,1.107.709.766.864,4.526.322.051.883,(4.197.228.171.088),9.980.096.965.816,8543293318157.0,1107709766864.0,4526322051883.0,-4197228171088.0,9980096965816.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),-,-,-,882.457.326.339,882.457.326.339,,,,882457326339.0,882457326339.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,5.604.334.200.551,840.264.287.758,4.087.639.763.140,(4.355.607.079.428),6.176.631.172.021,5604334200551.0,840264287758.0,4087639763140.0,-4355607079428.0,6176631172021.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,5.604.334.200.551,840.264.287.758,4.087.639.763.140,(4.355.607.079.428),6.176.631.172.021,5604334200551.0,840264287758.0,4087639763140.0,-4355607079428.0,6176631172021.0
