row_label_raw,row_label_full,col_0,"Máy móc, thiết bị",Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,570.305.177.818,6.011.931.523,576.317.109.341,570305177818.0,6011931523.0,576317109341.0
- Thuê thêm trong năm,Nguyên giá: > - Thuê thêm trong năm,- Thuê thêm trong năm,198.725.518.764,2.460.179.727,201.185.698.491,198725518764.0,2460179727.0,201185698491.0
- Phân loại sang TSCĐ hữu hình,Nguyên giá: > - Phân loại sang TSCĐ hữu hình,- Phân loại sang TSCĐ hữu hình,(224.191.978.712),(1.381.083.977),(225.573.062.689),-224191978712.0,-1381083977.0,-225573062689.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,544.838.717.870,7.091.027.273,551.929.745.143,544838717870.0,7091027273.0,551929745143.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,169.364.210.393,1.354.977.101,170.719.187.494,169364210393.0,1354977101.0,170719187494.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,52.763.420.519,1.081.390.709,53.844.811.228,52763420519.0,1081390709.0,53844811228.0
- Phân loại sang TSCĐ hữu hình,Giá trị khấu hao lũy kế: > - Phân loại sang TSCĐ hữu hình,- Phân loại sang TSCĐ hữu hình,(90.327.197.009),(401.255.575),(90.728.452.584),-90327197009.0,-401255575.0,-90728452584.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,131.800.433.903,2.035.112.235,133.835.546.138,131800433903.0,2035112235.0,133835546138.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,400.940.967.425,4.656.954.422,405.597.921.847,400940967425.0,4656954422.0,405597921847.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,413.038.283.967,5.055.915.038,418.094.199.005,413038283967.0,5055915038.0,418094199005.0
