row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Dự án chăn nuôi Thanh Hóa (*),Dự án chăn nuôi Thanh Hóa (*),Dự án chăn nuôi Thanh Hóa (*),780.208.055.559,76.726.475.074,780208055559.0,76726475074.0
Dự án lợn giống Dabaco Phú Thọ - giai đoạn 3 (*),Dự án lợn giống Dabaco Phú Thọ - giai đoạn 3 (*),Dự án lợn giống Dabaco Phú Thọ - giai đoạn 3 (*),192.136.148.845,23.516.931.194,192136148845.0,23516931194.0
Dự án nhà máy ép dầu giai đoạn 2 (*),Dự án nhà máy ép dầu giai đoạn 2 (*),Dự án nhà máy ép dầu giai đoạn 2 (*),99.100.474.835,-,99100474835.0,
Nhà máy sân xuất Vacxin,Nhà máy sân xuất Vacxin,Nhà máy sân xuất Vacxin,84.817.479.439,-,84817479439.0,
Trung tâm thương mại Huyền Quang,Trung tâm thương mại Huyền Quang,Trung tâm thương mại Huyền Quang,81.003.347.439,30.619.012.684,81003347439.0,30619012684.0
Dự án cảng Dabaco - giai đoạn 2,Dự án cảng Dabaco - giai đoạn 2,Dự án cảng Dabaco - giai đoạn 2,35.657.221.219,31.776.658.492,35657221219.0,31776658492.0
Dự án khách sạn tại Đà Nẵng,Dự án khách sạn tại Đà Nẵng,Dự án khách sạn tại Đà Nẵng,-,71.765.641.065,,71765641065.0
Trung tâm nghề Lạc Vệ,Trung tâm nghề Lạc Vệ,Trung tâm nghề Lạc Vệ,-,56.289.429.927,,56289429927.0
Các dự án khác,Các dự án khác,Các dự án khác,124.741.804.695,177.233.427.487,124741804695.0,177233427487.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.397.664.532.031,467.927.575.923,1397664532031.0,467927575923.0
