row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,1.151.780.870.391,840.112.692.559,1151780870391.0,840112692559.0
- Enerfo Pte Ltd (Singapore),- Enerfo Pte Ltd (Singapore),- Enerfo Pte Ltd (Singapore),630.235.409.400,656.490.497.314,630235409400.0,656490497314.0
- ETC Argo (PTY) LTD,- ETC Argo (PTY) LTD,- ETC Argo (PTY) LTD,417.770.038.350,-,417770038350.0,
- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,-,95.237.504.884,,95237504884.0
- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,103.775.422.641,88.384.690.361,103775422641.0,88384690361.0
Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,971.011.930.206,547.448.032.646,971011930206.0,547448032646.0
- Công ty Cổ phần Đầu tư Asia Goldman,- Công ty Cổ phần Đầu tư Asia Goldman,- Công ty Cổ phần Đầu tư Asia Goldman,211.519.892.060,5.449.168.200,211519892060.0,5449168200.0
- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,759.492.038.146,541.998.864.446,759492038146.0,541998864446.0
Phải trả các bên liên quan(Thuyết minh số 29),Phải trả các bên liên quan(Thuyết minh số 29),Phải trả các bên liên quan(Thuyết minh số 29),6.425.254.184,4.902.246.483,6425254184.0,4902246483.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.129.218.054.781,1.392.462.971.688,2129218054781.0,1392462971688.0
