row_label_raw,row_label_full,col_0,Hoạt độngbán hàng hóaVND,Hoạt độngcung cấp dịch vụVND,Hoạt độngđầu tư tài chính vàhoạt động khácVND,Tổng cộngVND,numeric__Hoạt độngbán hàng hóaVND,numeric__Hoạt độngcung cấp dịch vụVND,numeric__Hoạt độngđầu tư tài chính vàhoạt động khácVND,numeric__Tổng cộngVND
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải trả người bán ngắn hạn,Trong đó: > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,-,18.189.996.250,-,18.189.996.250,,18189996250.0,,18189996250.0
Người mua trả tiền trước ngắn hạn,Trong đó: > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,-,1.117.826.614,-,1.117.826.614,,1117826614.0,,1117826614.0
Chi phí phải trả ngắn hạn,Trong đó: > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,-,12.675.436.000,88.004.666.977,100.680.102.977,,12675436000.0,88004666977.0,100680102977.0
Vay và nợ thuê tài chính ngắn hạn,Trong đó: > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,-,58.907.483.298,1.850.321.568.363,1.909.229.051.661,,58907483298.0,1850321568363.0,1909229051661.0
Phải trả ngắn hạn khác,Trong đó: > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,-,5.242.680.453,158.724.569.899,163.967.250.352,,5242680453.0,158724569899.0,163967250352.0
Vay và nợ thuê tài chính dài hạn,Trong đó: > Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,-,61.535.022.277,2.929.106.945.983,2.990.641.968.260,,61535022277.0,2929106945983.0,2990641968260.0
Phải trả dài hạn khác,Trong đó: > Phải trả dài hạn khác,Phải trả dài hạn khác,12.000.000.000,10.000.000.000,-,22.000.000.000,12000000000.0,10000000000.0,,22000000000.0
Tổng nợ phải trả phân bổ,Trong đó: > Tổng nợ phải trả phân bổ,Tổng nợ phải trả phân bổ,12.000.000.000,167.668.444.892,5.026.157.751.222,5.205.826.196.114,12000000000.0,167668444892.0,5026157751222.0,5205826196114.0
Nợ phải trả không phân bổ,Trong đó: > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,46.279.717.157,,,,46279717157.0
Tổng nợ phải trả,Trong đó: > Tổng nợ phải trả,Tổng nợ phải trả,,,,5.252.105.913.271,,,,5252105913271.0
