row_label_raw,row_label_full,(v),Phải trả ngắn hạn khác (Thuyết minh 12) > Công ty TNHH Cảng Nam Hải Đình Vũ,31/12/2025VND > 115.000.000.000,31/12/2024VND > -,numeric__Phải trả ngắn hạn khác (Thuyết minh 12) > Công ty TNHH Cảng Nam Hải Đình Vũ,numeric__31/12/2025VND > 115.000.000.000,numeric__31/12/2024VND > -
(v),(v),(v),Công ty TNHH Một thành viên Vận tải biểnNgôi sao Xanh,13.000.000.000,8.411.264.294,,13000000000.0,8411264294.0
(v),(v),(v),Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,30.000.770.686,83.393.810.765,,30000770686.0,83393810765.0
(v),(v),(v),Công ty TNHH Một Thành viên Trung tâmLogistics Xanh,-,10.456.308.797,,,10456308797.0
(v),(v),(v),Công ty Cổ phần Container Miền Trung,723.799.213,1.636.150.284,,723799213.0,1636150284.0
(v),(v),(v),Công ty TNHH Một thành viên ViconshipHồ Chí Minh,-,700.000.000,,,700000000.0
(v),(v),(v),Công ty Cổ phần Cảng cạn Quảng Bình - Đình Vũ,-,500.000.000,,,500000000.0
(v),(v),(v),,158.724.569.899,105.097.534.140,,158724569899.0,105097534140.0
(vi),(vi),(vi),Phải trả dài hạn khác (Thuyết minh 15),,,,,
(vi),(vi) > (vi),(vi),Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,12.000.000.000,-,,12000000000.0,
(vi),(vi) > (vi),(vi),Công ty TNHH Một Thành viên Trung tâmLogistics Xanh,2.000.000.000,-,,2000000000.0,
(vi),(vi) > (vi),(vi),Công ty Cổ phần VSC Green Logistics,2.000.000.000,-,,2000000000.0,
(vi),(vi) > (vi),(vi),Công ty Cổ phần Cảng Xanh VIP,2.000.000.000,-,,2000000000.0,
(vi),(vi) > (vi),(vi),Công ty TNHH Cảng Nam Hải Đình Vũ,2.000.000.000,-,,2000000000.0,
(vi),(vi) > (vi),(vi),Công ty TNHH Một thành viên Vận tải biểnNgôi sao Xanh,2.000.000.000,-,,2000000000.0,
(vi),(vi) > (vi),(vi),,22.000.000.000,-,,22000000000.0,
