row_label_raw,row_label_full,col_0,col_1,Tại ngày1/1/2025VND,Tăngtrong nămVND,Trả nợ gốc vaytrong nămVND,Lãi nhập gốcVND(Thuyết minh 27),Vay dài hạn đến hạn trảVND,Tại ngày31/12/2025VND,numeric__col_1,numeric__Tại ngày1/1/2025VND,numeric__Tăngtrong nămVND,numeric__Trả nợ gốc vaytrong nămVND,numeric__Lãi nhập gốcVND(Thuyết minh 27),numeric__Vay dài hạn đến hạn trảVND,numeric__Tại ngày31/12/2025VND
(a),(a),(a),Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chínhkhác (ii)- Vay các tổ chức khác (iii)No thuê tài chính (v),214.530.280.583,2.781.271.330.201,(1.190.733.049.986),17.303.606.981,60.484.731.454,1.882.856.899.233,,214530280583.0,2781271330201.0,-1190733049986.0,17303606981.0,60484731454.0,1882856899233.0
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chínhkhác (ii)- Vay các tổ chức khác (iii)No thuê tài chính (v),45.356.322.563,65.578.054.709,(38.943.942.240),1.218.401,60.484.731.454,132.476.384.887,,45356322563.0,65578054709.0,-38943942240.0,1218401.0,60484731454.0,132476384887.0
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chínhkhác (ii)- Vay các tổ chức khác (iii)No thuê tài chính (v),169.173.958.020,2.219.693.275.492,(1.089.809.107.746),17.302.388.580,-,1.316.360.514.346,,169173958020.0,2219693275492.0,-1089809107746.0,17302388580.0,,1316360514346.0
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chínhkhác (ii)- Vay các tổ chức khác (iii)No thuê tài chính (v),-,496.000.000.000,(61.980.000.000),-,-,434.020.000.000,,,496000000000.0,-61980000000.0,,,434020000000.0
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chínhkhác (ii)- Vay các tổ chức khác (iii)No thuê tài chính (v),-,-,-,-,26.372.152.428,26.372.152.428,,,,,,26372152428.0,26372152428.0
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chínhkhác (ii)- Vay các tổ chức khác (iii)No thuê tài chính (v),214.530.280.583,2.781.271.330.201,(1.190.733.049.986),17.303.606.981,86.856.883.882,1.909.229.051.661,,214530280583.0,2781271330201.0,-1190733049986.0,17303606981.0,86856883882.0,1909229051661.0
(b),(b),(b),Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,,,,
(b),(b) > (b),(b),Vay ngân hàng (iv)No thuê tài chính (v),1.647.591.677.437,1.342.000.000.000,-,-,(60.484.731.454),2.929.106.945.983,,1647591677437.0,1342000000000.0,,,-60484731454.0,2929106945983.0
(b),(b) > (b),(b),Vay ngân hàng (iv)No thuê tài chính (v),-,87.907.174.705,-,-,(26.372.152.428),61.535.022.277,,,87907174705.0,,,-26372152428.0,61535022277.0
(b),(b) > (b),(b),Vay ngân hàng (iv)No thuê tài chính (v),1.647.591.677.437,1.429.907.174.705,-,-,(86.856.883.882),2.990.641.968.260,,1647591677437.0,1429907174705.0,,,-86856883882.0,2990641968260.0
