row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dưvốn cổ phầnVND,Quỹ đầu tưphát triểnVND,LNST chưaphân phốiVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Quỹ đầu tưphát triểnVND,numeric__LNST chưaphân phốiVND,numeric__Tổng cộngVND
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,1.333.956.420.000,39.403.521.246,646.734.369.757,247.774.090.472,2.267.868.401.475,1333956420000.0,39403521246.0,646734369757.0,247774090472.0,2267868401475.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,(7.386.511.952),(7.386.511.952),,,,-7386511952.0,-7386511952.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.000.000.000),(2.000.000.000),,,,-2000000000.0,-2000000000.0
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,1.333.956.420.000,-,-,-,1.333.956.420.000,1333956420000.0,,,,1333956420000.0
Chia cổ tức bằng cổ phiếu năm 2023,Chia cổ tức bằng cổ phiếu năm 2023,Chia cổ tức bằng cổ phiếu năm 2023,200.055.350.000,-,-,(200.055.350.000),-,200055350000.0,,,-200055350000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,259.851.372.055,259.851.372.055,,,,259851372055.0,259851372055.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,2.867.968.190.000,39.403.521.246,646.734.369.757,298.183.600.575,3.852.289.681.578,2867968190000.0,39403521246.0,646734369757.0,298183600575.0,3852289681578.0
"Trích lập Quỹ khen thưởng, phúc lợi(Thuyết minh 14) (i)","Trích lập Quỹ khen thưởng, phúc lợi(Thuyết minh 14) (i)","Trích lập Quỹ khen thưởng, phúc lợi(Thuyết minh 14) (i)",-,-,-,(8.648.100.000),(8.648.100.000),,,,-8648100000.0,-8648100000.0
Thường Hội đồng Quản trị và Ban Kiểm soát (i),Thường Hội đồng Quản trị và Ban Kiểm soát (i),Thường Hội đồng Quản trị và Ban Kiểm soát (i),-,-,-,(5.900.000.000),(5.900.000.000),,,,-5900000000.0,-5900000000.0
Vốn tăng trong kỳ theo chương trình ESOP (ii),Vốn tăng trong kỳ theo chương trình ESOP (ii),Vốn tăng trong kỳ theo chương trình ESOP (ii),127.040.000.000,-,-,-,127.040.000.000,127040000000.0,,,,127040000000.0
Vốn tăng trong kỳ từ Quỹ đầu tư phát triển vàThặng dư vốn cổ phần (iii),Vốn tăng trong kỳ từ Quỹ đầu tư phát triển vàThặng dư vốn cổ phần (iii),Vốn tăng trong kỳ từ Quỹ đầu tư phát triển vàThặng dư vốn cổ phần (iii),658.872.120.000,(39.403.521.246),(619.468.598.754),-,-,658872120000.0,-39403521246.0,-619468598754.0,,
Chia cổ tức năm 2024 bằng cổ phiếu (iii),Chia cổ tức năm 2024 bằng cổ phiếu (iii),Chia cổ tức năm 2024 bằng cổ phiếu (iii),89.823.310.000,-,-,(89.823.310.000),-,89823310000.0,,,-89823310000.0,
Chia cổ tức năm 2024 bằng tiền (iv),Chia cổ tức năm 2024 bằng tiền (iv),Chia cổ tức năm 2024 bằng tiền (iv),-,-,-,(149.750.409.500),(149.750.409.500),,,,-149750409500.0,-149750409500.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,717.068.740.271,717.068.740.271,,,,717068740271.0,717068740271.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,3.743.703.620.000,-,27.265.771.003,761.130.521.346,4.532.099.912.349,3743703620000.0,,27265771003.0,761130521346.0,4532099912349.0
