row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bị quản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bị quản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,22.115.933.233,616.647.000,50.965.529.359,1.567.584.408,75.265.694.000,22115933233.0,616647000.0,50965529359.0,1567584408.0,75265694000.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,-,152.100.000.000,-,-,152.100.000.000,,152100000000.0,,,152100000000.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,22.115.933.233,152.716.647.000,50.965.529.359,1.567.584.408,227.365.694.000,22115933233.0,152716647000.0,50965529359.0,1567584408.0,227365694000.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(16.082.610.407),(513.986.611),(33.471.249.044),(1.489.715.732),(51.557.561.794),-16082610407.0,-513986611.0,-33471249044.0,-1489715732.0,-51557561794.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(564.510.217),(7.989.688.174),(2.958.044.112),(41.671.712),(11.553.914.215),-564510217.0,-7989688174.0,-2958044112.0,-41671712.0,-11553914215.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(16.647.120.624),(8.503.674.785),(36.429.293.156),(1.531.387.444),(63.111.476.009),-16647120624.0,-8503674785.0,-36429293156.0,-1531387444.0,-63111476009.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,6.033.322.826,102.660.389,17.494.280.315,77.868.676,23.708.132.206,6033322826.0,102660389.0,17494280315.0,77868676.0,23708132206.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,5.468.812.609,144.212.972.215,14.536.236.203,36.196.964,164.254.217.991,5468812609.0,144212972215.0,14536236203.0,36196964.0,164254217991.0
