row_label_raw,row_label_full,col_0,Phương tiện vận tải VND,numeric__Phương tiện vận tải VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,-,
Thuê tài chính mới trong năm,Tại ngày 1 tháng 1 năm 2025 > Thuê tài chính mới trong năm,Thuê tài chính mới trong năm,81.393.079.501,81393079501.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 1 tháng 1 năm 2025 > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,81.393.079.501,81393079501.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,-,
Khấu hao trong năm,Tại ngày 1 tháng 1 năm 2025 > Khấu hao trong năm,Khấu hao trong năm,(65.639.581),-65639581.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 1 tháng 1 năm 2025 > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(65.639.581),-65639581.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,-,
Tại ngày 31 tháng 12 năm 2025,Tại ngày 1 tháng 1 năm 2025 > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,81.327.439.920,81327439920.0
