row_label_raw,row_label_full,Ban Điều hành,Ban Điều hành_1,Ban Điều hành_2,Ban Điều hành_3,numeric__Ban Điều hành_1,numeric__Ban Điều hành_2,numeric__Ban Điều hành_3
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Tổng Giám đốc(từ ngày 28/2/2024),Như trên,Như trên,,,
Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Tổng Giám đốc(đến ngày 28/2/2024),Như trên,Như trên,,,
Ông Nguyễn Thế Trọng,Ông Cáp Trọng Cường > Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Phó Tổng Giám đốc(đến ngày 1/1/2025),-,1.931.180.351,,,1931180351.0
Bà Trường Anh ThưÔng Nguyễn Đức Thành,Ông Cáp Trọng Cường > Bà Trường Anh ThưÔng Nguyễn Đức Thành,Bà Trường Anh ThưÔng Nguyễn Đức Thành,Phó Tổng Giám đốc(đến ngày 5/5/2025),2.290.600.000,2.056.100.000,,2290600000.0,2056100000.0
Ông Vũ Ngọc LâmÔng Phan Văn Hưng,Ông Vũ Ngọc LâmÔng Phan Văn Hưng,Ông Vũ Ngọc LâmÔng Phan Văn Hưng,Phó Tổng Giám đốcGiám đốc Tài chính(đến ngày 1/3/2024),Như trên,Như trên,,,
Ông Phạm Thanh Tuấn,Ông Vũ Ngọc LâmÔng Phan Văn Hưng > Ông Phạm Thanh Tuấn,Ông Phạm Thanh Tuấn,Kế toán trưởng(từ ngày 1/3/2024),2.014.520.000,1.007.467.000,,2014520000.0,1007467000.0
Ông Lê Thế Trung,Ông Vũ Ngọc LâmÔng Phan Văn Hưng > Ông Lê Thế Trung,Ông Lê Thế Trung,Chánh văn phòng HĐQT(đến ngày 1/6/2025)Kế toán trưởng(đến ngày 1/3/2024),2.138.600.000,2.055.100.000,,2138600000.0,2055100000.0
,,,,868.174.000,386.666.667,,868174000.0,386666667.0
