row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Phải thu dịch vụ IT,Phải thu dịch vụ IT,Phải thu dịch vụ IT,Phải thu dịch vụ IT,Phải thu dịch vụ IT,,
- Bảo Việt Nhận thọ,Phải thu dịch vụ IT > - Bảo Việt Nhận thọ,- Bảo Việt Nhận thọ,18.091.299.910,24.234.744.400,18091299910.0,24234744400.0
- Bảo hiểm Bảo Việt,Phải thu dịch vụ IT > - Bảo hiểm Bảo Việt,- Bảo hiểm Bảo Việt,37.986.149.925,21.052.608.257,37986149925.0,21052608257.0
- BVF,Phải thu dịch vụ IT > - BVF,- BVF,213.379.685,450.101.027,213379685.0,450101027.0
- BVSC,Phải thu dịch vụ IT > - BVSC,- BVSC,821.215.545,2.694.231.519,821215545.0,2694231519.0
- BVInvest,Phải thu dịch vụ IT > - BVInvest,- BVInvest,54.334.382,84.316.240,54334382.0,84316240.0
- BVB,Phải thu dịch vụ IT > - BVB,- BVB,686.193.451,2.047.020.900,686193451.0,2047020900.0
,,,57.852.572.898,50.563.022.343,57852572898.0,50563022343.0
Phải thu dịch vụ cho thuê nhà,Phải thu dịch vụ cho thuê nhà,Phải thu dịch vụ cho thuê nhà,Phải thu dịch vụ cho thuê nhà,Phải thu dịch vụ cho thuê nhà,,
- BVInvest,Phải thu dịch vụ cho thuê nhà > - BVInvest,- BVInvest,1.776.171.562,7.936.609.316,1776171562.0,7936609316.0
- Công ty khác,Phải thu dịch vụ cho thuê nhà > - Công ty khác,- Công ty khác,41.023.977,1.272.637.281,41023977.0,1272637281.0
,,,1.817.195.539,9.209.246.597,1817195539.0,9209246597.0
Phải thu dịch vụ đào tạo,Phải thu dịch vụ đào tạo,Phải thu dịch vụ đào tạo,Phải thu dịch vụ đào tạo,Phải thu dịch vụ đào tạo,,
- Bảo hiểm Bảo Việt,Phải thu dịch vụ đào tạo > - Bảo hiểm Bảo Việt,- Bảo hiểm Bảo Việt,-,2.894.442.000,,2894442000.0
,,,-,2.894.442.000,,2894442000.0
,,,59.669.768.437,62.666.710.940,59669768437.0,62666710940.0
