row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Phải thu:,Phải thu:,Phải thu:,Phải thu:,Phải thu:,,
- Dự thu lãi tiền gửi,Phải thu: > - Dự thu lãi tiền gửi,- Dự thu lãi tiền gửi,21.468.468.874,46.836.344.469,21468468874.0,46836344469.0
- Dự thu lãi trái phiếu,Phải thu: > - Dự thu lãi trái phiếu,- Dự thu lãi trái phiếu,25.388.038.420,26.901.734.671,25388038420.0,26901734671.0
"- Dự thu cổ tức, lợi nhuận được chia","Phải thu: > - Dự thu cổ tức, lợi nhuận được chia","- Dự thu cổ tức, lợi nhuận được chia",248.941.420.831,262.891.939.602,248941420831.0,262891939602.0
Lợi nhuận từ Bảo Việt Nhân thọ,Phải thu: > Lợi nhuận từ Bảo Việt Nhân thọ,Lợi nhuận từ Bảo Việt Nhân thọ,40.702.836.703,208.334.219.954,40702836703.0,208334219954.0
Lợi nhuận từ Bảo hiểm Bảo Việt,Phải thu: > Lợi nhuận từ Bảo hiểm Bảo Việt,Lợi nhuận từ Bảo hiểm Bảo Việt,175.391.746.699,48.821.640.860,175391746699.0,48821640860.0
Lợi nhuận từ BVF,Phải thu: > Lợi nhuận từ BVF,Lợi nhuận từ BVF,10.346.837.429,4.098.568.788,10346837429.0,4098568788.0
Cổ tức từ BVIF,Phải thu: > Cổ tức từ BVIF,Cổ tức từ BVIF,21.000.000.000,-,21000000000.0,
Cổ tức từ BVInvest,Phải thu: > Cổ tức từ BVInvest,Cổ tức từ BVInvest,-,1.100.000.000,,1100000000.0
Cổ tức khác,Phải thu: > Cổ tức khác,Cổ tức khác,1.500.000.000,537.510.000,1500000000.0,537510000.0
,,,295.797.928.125,336.630.018.742,295797928125.0,336630018742.0
