row_label_raw,row_label_full,col_0,Vốn đầu tư củachủ sở hữuVND,Thặng dưvốn cổ phầnVND,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phốiVND,Tổng cộngVND,numeric__Vốn đầu tư củachủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phốiVND,numeric__Tổng cộngVND
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,6.804.714.340.000,3.184.332.381.197,-,1.549.586.480.356,11.538.633.201.553,6804714340000.0,3184332381197.0,,1549586480356.0,11538633201553.0
- Chia cổ tức cho năm 2014,Năm trước > - Chia cổ tức cho năm 2014,- Chia cổ tức cho năm 2014,-,-,-,(680.471.434.000),(680.471.434.000),,,,-680471434000.0,-680471434000.0
- Trích Quỹ khen thưởng phúc lợi,Năm trước > - Trích Quỹ khen thưởng phúc lợi,- Trích Quỹ khen thưởng phúc lợi,-,-,-,(89.708.039.941),(89.708.039.941),,,,-89708039941.0,-89708039941.0
- Chi thủ lao cho Hội đồng Quản trị và BanKiểm soát,Năm trước > - Chi thủ lao cho Hội đồng Quản trị và BanKiểm soát,- Chi thủ lao cho Hội đồng Quản trị và BanKiểm soát,-,-,-,(1.104.082.134),(1.104.082.134),,,,-1104082134.0,-1104082134.0
- Trích Quỹ phục vụ hoạt động An sinh xã hội,Năm trước > - Trích Quỹ phục vụ hoạt động An sinh xã hội,- Trích Quỹ phục vụ hoạt động An sinh xã hội,-,-,-,(11.213.504.993),(11.213.504.993),,,,-11213504993.0,-11213504993.0
- Trích Quỹ đầu tư phát triển,Năm trước > - Trích Quỹ đầu tư phát triển,- Trích Quỹ đầu tư phát triển,-,-,112.135.049.926,(112.135.049.926),-,,,112135049926.0,-112135049926.0,
- Lợi nhuận trong năm,Năm trước > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.002.370.977.695,1.002.370.977.695,,,,1002370977695.0,1002370977695.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,6.804.714.340.000,3.184.332.381.197,112.135.049.926,1.657.325.347.057,11.758.507.118.180,6804714340000.0,3184332381197.0,112135049926.0,1657325347057.0,11758507118180.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,6.804.714.340.000,3.184.332.381.197,112.135.049.926,1.657.325.347.057,11.758.507.118.180,6804714340000.0,3184332381197.0,112135049926.0,1657325347057.0,11758507118180.0
- Chia cổ tức cho năm 2015,Năm nay > - Chia cổ tức cho năm 2015,- Chia cổ tức cho năm 2015,-,-,-,(544.377.147.200),(544.377.147.200),,,,-544377147200.0,-544377147200.0
- Trích Quỹ khen thưởng phúc lợi (*),Năm nay > - Trích Quỹ khen thưởng phúc lợi (*),- Trích Quỹ khen thưởng phúc lợi (*),-,-,-,(58.137.516.706),(58.137.516.706),,,,-58137516706.0,-58137516706.0
- Chi thủ lao cho Hội đồng Quản trị và BanKiểm soát,Năm nay > - Chi thủ lao cho Hội đồng Quản trị và BanKiểm soát,- Chi thủ lao cho Hội đồng Quản trị và BanKiểm soát,-,-,-,(1.779.771.437),(1.779.771.437),,,,-1779771437.0,-1779771437.0
- Trích Quỹ phục vụ hoạt động An sinh xã hội (*),Năm nay > - Trích Quỹ phục vụ hoạt động An sinh xã hội (*),- Trích Quỹ phục vụ hoạt động An sinh xã hội (*),-,-,-,(10.023.709.777),(10.023.709.777),,,,-10023709777.0,-10023709777.0
- Trích Quỹ đầu tư phát triển (*),Năm nay > - Trích Quỹ đầu tư phát triển (*),- Trích Quỹ đầu tư phát triển (*),-,-,150.355.646.654,(150.355.646.654),-,,,150355646654.0,-150355646654.0,
- Lợi nhuận trong năm,Năm nay > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.021.769.136.052,1.021.769.136.052,,,,1021769136052.0,1021769136052.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,6.804.714.340.000,3.184.332.381.197,262.490.696.580,1.914.420.691.335,12.165.958.109.112,6804714340000.0,3184332381197.0,262490696580.0,1914420691335.0,12165958109112.0
