row_label_raw,row_label_full,Công ty được đầu tư,Lĩnh vực kinh doanh,Vốn điều lệ,Tỷ lệ sở hữu trực tiếp,Quyền biểu quyết của Tập đoàn,numeric__Lĩnh vực kinh doanh,numeric__Vốn điều lệ,numeric__Tỷ lệ sở hữu trực tiếp,numeric__Quyền biểu quyết của Tập đoàn
Công ty được đầu tư,Công ty được đầu tư,Công ty được đầu tư,Lĩnh vực kinh doanh,Tỷ VND,%,%,,,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Bảo Việt Resort,Công ty liên kết > Bảo Việt Resort,Bảo Việt Resort,Dịch vụ du lịch và nghĩ dưỡng,60,"35,00","35,00",,60.0,35.0,35.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Kinh doanh bất động sản,180,"8,33","8,33",,180.0,8.33,8.33
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Dịch vụ ngân hàng,3.150,"49,52","49,52",,3150.0,49.52,49.52
Trung Nam Phú Quốc,Công ty liên kết > Trung Nam Phú Quốc,Trung Nam Phú Quốc,Dịch vụ du lịch và nghĩ dưỡng,220,"49,00","49,00",,220.0,49.0,49.0
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,
Bảo Việt Tokio Marine,Công ty liên doanh > Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,"Bảo hiểm phi nhân thọ, tái bảo hiểm, giám định tổn thất, hoạt động đầu tư tài chính",300,"49,00","49,00",,300.0,49.0,49.0
