row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,,
Trích lập dự phòng giảm giá đầu tư,Chi phí hoạt động tài chính > Trích lập dự phòng giảm giá đầu tư,Trích lập dự phòng giảm giá đầu tư,19.899.104.663,17.939.621.898,19899104663.0,17939621898.0
Chi phí repo,Chi phí hoạt động tài chính > Chi phí repo,Chi phí repo,10.440.563.591,4.454.265.869,10440563591.0,4454265869.0
Lỗ đầu tư chứng khoán,Chi phí hoạt động tài chính > Lỗ đầu tư chứng khoán,Lỗ đầu tư chứng khoán,5.073.977.824,4.419.159.510,5073977824.0,4419159510.0
Các chi phí tài chính khác,Chi phí hoạt động tài chính > Các chi phí tài chính khác,Các chi phí tài chính khác,1.229.543.399,3.555.040.826,1229543399.0,3555040826.0
,,,36.643.189.477,30.368.088.103,36643189477.0,30368088103.0
Chi phí hoạt động kinh doanh khác,Chi phí hoạt động kinh doanh khác,Chi phí hoạt động kinh doanh khác,Chi phí hoạt động kinh doanh khác,Chi phí hoạt động kinh doanh khác,,
Chi phí dịch vụ đào tạo,Chi phí hoạt động kinh doanh khác > Chi phí dịch vụ đào tạo,Chi phí dịch vụ đào tạo,13.550.413.556,-,13550413556.0,
Chi phí cho thuê văn phòng,Chi phí hoạt động kinh doanh khác > Chi phí cho thuê văn phòng,Chi phí cho thuê văn phòng,35.088.350.222,33.504.105.284,35088350222.0,33504105284.0
Chi phí dịch vụ công nghệ thông tin,Chi phí hoạt động kinh doanh khác > Chi phí dịch vụ công nghệ thông tin,Chi phí dịch vụ công nghệ thông tin,100.830.555.293,44.512.694.441,100830555293.0,44512694441.0
,,,149.469.319.071,78.016.799.725,149469319071.0,78016799725.0
,,,186.112.508.548,108.384.887.828,186112508548.0,108384887828.0
