row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị ghi sốVND,Số đầu năm > Giá gốcVND,Số đầu năm > Giá trị ghi sốVND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị ghi sốVND,numeric__Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Giá trị ghi sốVND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (*),Ngắn hạn > Tiền gửi (*),Tiền gửi (*),1.594.400.000.000,1.430.400.000.000,1.737.000.000.000,1.573.000.000.000,1594400000000.0,1430400000000.0,1737000000000.0,1573000000000.0
Trái phiếu,Ngắn hạn > Trái phiếu,Trái phiếu,154.709.500.000,56.825.700.000,60.000.000.000,18.000.000.000,154709500000.0,56825700000.0,60000000000.0,18000000000.0
Trái phiếu doanh nghiệp,Ngắn hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,154.709.500.000,56.825.700.000,60.000.000.000,18.000.000.000,154709500000.0,56825700000.0,60000000000.0,18000000000.0
,,,1.749.109.500.000,1.487.225.700.000,1.797.000.000.000,1.591.000.000.000,1749109500000.0,1487225700000.0,1797000000000.0,1591000000000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (**),Dài hạn > Tiền gửi (**),Tiền gửi (**),50.000.000.000,50.000.000.000,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0,50000000000.0,50000000000.0
Trái phiếu (***),Dài hạn > Trái phiếu (***),Trái phiếu (***),1.129.456.594.274,1.129.456.594.274,1.944.328.688.469,1.925.386.788.469,1129456594274.0,1129456594274.0,1944328688469.0,1925386788469.0
Trái phiếu Chính phủ,Dài hạn > Trái phiếu Chính phủ,Trái phiếu Chính phủ,251.945.498.757,251.945.498.757,252.623.038.701,252.623.038.701,251945498757.0,251945498757.0,252623038701.0,252623038701.0
Trái phiếu doanh nghiệp,Dài hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,877.511.095.517,877.511.095.517,1.691.705.649.768,1.672.763.749.768,877511095517.0,877511095517.0,1691705649768.0,1672763749768.0
,,,1.179.456.594.274,1.179.456.594.274,1.994.328.688.469,1.975.386.788.469,1179456594274.0,1179456594274.0,1994328688469.0,1975386788469.0
,,,2.928.566.094.274,2.666.682.294.274,3.791.328.688.469,3.566.386.788.469,2928566094274.0,2666682294274.0,3791328688469.0,3566386788469.0
