row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Năm nay VND,Năm trước VND,numeric__Giao dịch,numeric__Năm nay VND,numeric__Năm trước VND
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
Bảo Việt Nhân tho,Công ty con > Bảo Việt Nhân tho,Bảo Việt Nhân tho,Góp vốn,500.000.000.000,-,,500000000000.0,
Bảo Việt Nhân tho,Công ty con > Bảo Việt Nhân tho,Bảo Việt Nhân tho,Lợi nhuận được nhận,487.440.629.176,578.200.000.000,,487440629176.0,578200000000.0
Bảo Việt Nhân tho,Công ty con > Bảo Việt Nhân tho,Bảo Việt Nhân tho,Doanh thu cung cấp dịch vụ CNTT,52.981.162.091,22.031.585.818,,52981162091.0,22031585818.0
Bảo Việt Nhân tho,Công ty con > Bảo Việt Nhân tho,Bảo Việt Nhân tho,Doanh thu phí đào tạo,907.386.597,-,,907386597.0,
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Lợi nhuận được nhận,303.017.912.700,228.000.000.000,,303017912700.0,228000000000.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Doanh thu cung cấp dịch vụ CNTT,43.809.009.731,19.138.734.779,,43809009731.0,19138734779.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Doanh thu phí đào tạo,5.816.650.962,-,,5816650962.0,
BVF,Công ty con > BVF,BVF,Góp vốn,-,50.000.000.000,,,50000000000.0
BVF,Công ty con > BVF,BVF,Lợi nhuận được nhận,23.371.458.124,10.900.000.000,,23371458124.0,10900000000.0
BVF,Công ty con > BVF,BVF,Doanh thu cung cấp dịch vụ CNTT,1.244.402.303,409.182.752,,1244402303.0,409182752.0
BVF,Công ty con > BVF,BVF,Doanh thu cho thuê văn phòng,2.499.103.530,2.494.301.040,,2499103530.0,2494301040.0
BVF,Công ty con > BVF,BVF,Doanh thu phí đào tạo,47.718.000,-,,47718000.0,
BVIF,Công ty con > BVIF,BVIF,Góp vốn thành lập,-,450.000.000.000,,,450000000000.0
BVIF,Công ty con > BVIF,BVIF,Cổ tức được nhận,21.000.000.000,-,,21000000000.0,
BVSC,Công ty con > BVSC,BVSC,Doanh thu cho thuê văn phòng,6.818.579.315,6.805.476.153,,6818579315.0,6805476153.0
BVSC,Công ty con > BVSC,BVSC,Doanh thu cung cấp dịch vụ CNTT,3.213.839.998,2.449.301.381,,3213839998.0,2449301381.0
BVSC,Công ty con > BVSC,BVSC,Phí giao dịch chứng khoán,(205.804.128),(130.744.612),,-205804128.0,-130744612.0
BVSC,Công ty con > BVSC,BVSC,Phí lưu kỳ,(87.892.741),(194.856.967),,-87892741.0,-194856967.0
BVSC,Công ty con > BVSC,BVSC,Phí cung cấp báo cáo,(70.000.000),(52.500.000),,-70000000.0,-52500000.0
BVSC,Công ty con > BVSC,BVSC,Phí tư vấn,(210.000.000),(278.000.000),,-210000000.0,-278000000.0
BVSC,Công ty con > BVSC,BVSC,"Phí chỉ trả cổ tức, quản lý số cổ đông",(88.000.000),(176.000.000),,-88000000.0,-176000000.0
BVInvest,Công ty con > BVInvest,BVInvest,Cổ tức đã nhận,-,14.300.000.000,,,14300000000.0
BVInvest,Công ty con > BVInvest,BVInvest,Doanh thu cho thuê văn phòng và khai thác bãi xe,55.868.605.931,53.249.393.896,,55868605931.0,53249393896.0
BVInvest,Công ty con > BVInvest,BVInvest,Doanh thu cung cấp dịch vụ CNTT,180.017.801,76.651.127,,180017801.0,76651127.0
BVInvest,Công ty con > BVInvest,BVInvest,Phí quản lý tòa nhà và thủ lao ủy thác cho thuê văn phòng,(11.296.492.570),(11.006.426.414),,-11296492570.0,-11006426414.0
BVInvest,Công ty con > BVInvest,BVInvest,Chi phí sửa chữa và các dịch vụ khác,(2.063.056.164),(794.312.331),,-2063056164.0,-794312331.0
BVInvest,Công ty con > BVInvest,BVInvest,Chi phí năng lượng,(6.146.252.064),(5.587.559.714),,-6146252064.0,-5587559714.0
