row_label_raw,row_label_full,Cổ đông,Số lượng cổ phần nằm giữ,Tỷ lệ sở hữu,numeric__Số lượng cổ phần nằm giữ,numeric__Tỷ lệ sở hữu
Bộ Tài chính,Bộ Tài chính,Bộ Tài chính,482.509.800,"70,91%",482509800.0,0.7091
Công ty Bảo hiểm Nhân thọ Sumitomo (Sumitomo Life),Công ty Bảo hiểm Nhân thọ Sumitomo (Sumitomo Life),Công ty Bảo hiểm Nhân thọ Sumitomo (Sumitomo Life),122.509.091,"18,00%",122509091.0,0.18
"Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước (""SCIC"")","Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước (""SCIC"")","Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước (""SCIC"")",22.154.400,"3,26%",22154400.0,0.0326
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,53.298.143,"7,83%",53298143.0,0.0783
,,,680.471.434,100%,680471434.0,1.0
