row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Năm nay VND,Năm trước VND,numeric__Giao dịch,numeric__Năm nay VND,numeric__Năm trước VND
Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,,,
Bộ Tài chính,Cổ đông sáng lập > Bộ Tài chính,Bộ Tài chính,Cổ tức đã trả,(386.007.840.000),(482.509.800.000),,-386007840000.0,-482509800000.0
SCIC,Cổ đông sáng lập > SCIC,SCIC,Cổ tức đã trả,(17.723.520.000),(22.154.400.000),,-17723520000.0,-22154400000.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Cổ tức đã trả,(98.007.272.800),(122.509.091.000),,-98007272800.0,-122509091000.0
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,
Bảo Việt Tokio,"Công ty liên doanh, liên kết > Bảo Việt Tokio",Bảo Việt Tokio,Cổ tức đã nhận,38.468.578.432,25.853.851.312,,38468578432.0,25853851312.0
Marine,"Công ty liên doanh, liên kết > Marine",Marine,Thay đổi tỷ lệ góp vốn,(6.000.000.000),-,,-6000000000.0,
Trung Nam Phú Quốc,"Công ty liên doanh, liên kết > Trung Nam Phú Quốc",Trung Nam Phú Quốc,Góp vốn,431.200.000.000,-,,431200000000.0,
Bảo Việt Resort,"Công ty liên doanh, liên kết > Bảo Việt Resort",Bảo Việt Resort,Góp vốn,3.500.000.000,-,,3500000000.0,
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Cổ tức đã nhận,31.200.000.000,31.200.000.000,,31200000000.0,31200000000.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Doanh thu từ hoạt động đầu tư tài chính,106.556.378.816,58.036.611.882,,106556378816.0,58036611882.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Doanh thu cung cấp dịch vụ CNTT,2.909.191.327,1.860.928.091,,2909191327.0,1860928091.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Doanh thu cho thuê văn phòng và phí giữ xe,5.174.812.581,4.709.182.145,,5174812581.0,4709182145.0
VIGEBA,"Công ty liên doanh, liên kết > VIGEBA",VIGEBA,Cổ tức đã nhận,-,20.881.550.723,,,20881550723.0
