row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,7.1,,,71.0,,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,427.637.584.922,434.466.673.361,,427637584922.0,434466673361.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,343.292.054.000,372.625.420.000,,343292054000.0,372625420000.0
Chứng chí quỹ,Chứng chí quỹ,Chứng chí quỹ,,45.000.000.000,25.000.000.000,,45000000000.0,25000000000.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,,(230.834.035.850),(247.723.607.207),,-230834035850.0,-247723607207.0
,,,,585.095.603.072,584.368.486.154,,585095603072.0,584368486154.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,7.2,,,72.0,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,1.487.225.700.000,1.591.000.000.000,,1487225700000.0,1591000000000.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,1.430.400.000.000,1.573.000.000.000,,1430400000000.0,1573000000000.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,56.825.700.000,18.000.000.000,,56825700000.0,18000000000.0
Dải hạn,Dải hạn,Dải hạn,,1.179.456.594.274,1.975.386.788.469,,1179456594274.0,1975386788469.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,50.000.000.000,50.000.000.000,,50000000000.0,50000000000.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,1.129.456.594.274,1.925.386.788.469,,1129456594274.0,1925386788469.0
,,,,2.666.682.294.274,3.566.386.788.469,,2666682294274.0,3566386788469.0
Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,7.3,,,73.0,,
Đầu tư vào công ty con và BVIF,Đầu tư vào công ty con và BVIF,Đầu tư vào công ty con và BVIF,,5.861.291.148.720,5.361.291.148.720,,5861291148720.0,5361291148720.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",,2.165.700.000.000,1.737.000.000.000,,2165700000000.0,1737000000000.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,,-,(153.223.980),,,-153223980.0
,,,,8.026.991.148.720,7.098.137.924.740,,8026991148720.0,7098137924740.0
Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,,11.278.769.046.066,11.248.893.199.363,,11278769046066.0,11248893199363.0
