row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2016,Chưa quá hạn và không giảm giá trị > Ngày 31 tháng 12 năm 2016,Quá hạn nhưng không giảm giá trị riêng lẻ > Ngày 31 tháng 12 năm 2016,Bi giảm giá trị riêng lẻ (*) > Ngày 31 tháng 12 năm 2016,Đơn vị tính: VND Tổng > Ngày 31 tháng 12 năm 2016,numeric__Chưa quá hạn và không giảm giá trị > Ngày 31 tháng 12 năm 2016,numeric__Quá hạn nhưng không giảm giá trị riêng lẻ > Ngày 31 tháng 12 năm 2016,numeric__Bi giảm giá trị riêng lẻ (*) > Ngày 31 tháng 12 năm 2016,numeric__Đơn vị tính: VND Tổng > Ngày 31 tháng 12 năm 2016
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,478.096.731.969,-,-,478.096.731.969,478096731969.0,,,478096731969.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,2.656.159.768.235,-,56.825.700.000,2.712.985.468.235,2656159768235.0,,56825700000.0,2712985468235.0
- Hop đồng tiền gửi,- Hop đồng tiền gửi,- Hop đồng tiền gửi,1.501.315.135.541,-,-,1.501.315.135.541,1501315135541.0,,,1501315135541.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,1.154.844.632.694,-,56.825.700.000,1.211.670.332.694,1154844632694.0,,56825700000.0,1211670332694.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,337.602.676.551,-,-,337.602.676.551,337602676551.0,,,337602676551.0
- Phải thu cố tức,- Phải thu cố tức,- Phải thu cố tức,248.941.420.831,-,-,248.941.420.831,248941420831.0,,,248941420831.0
- Phải thu khác từ các bên liên quan,- Phải thu khác từ các bên liên quan,- Phải thu khác từ các bên liên quan,59.669.768.437,-,-,59.669.768.437,59669768437.0,,,59669768437.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,28.991.487.283,-,-,28.991.487.283,28991487283.0,,,28991487283.0
Tổng,Tổng,Tổng,3.471.859.176.755,-,56.825.700.000,3.528.684.876.755,3471859176755.0,,56825700000.0,3528684876755.0
