row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị thuầnVND,Số cuối năm > Dự phòngVND,Số đầu năm > Giá gốcVND,Số đầu năm > Giá trị thuầnVND,Số đầu năm > Dự phòngVND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị thuầnVND,numeric__Số cuối năm > Dự phòngVND,numeric__Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Giá trị thuầnVND,numeric__Số đầu năm > Dự phòngVND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Tập đoàn Công nghệ CMC,Công ty Cổ phần > Tập đoàn Công nghệ CMC,Tập đoàn Công nghệ CMC,144.000.000.000,50.880.000.000,(93.120.000.000),144.000.000.000,50.540.800.000,(93.459.200.000),144000000000.0,50880000000.0,-93120000000.0,144000000000.0,50540800000.0,-93459200000.0
Ngân hàng TMCP,Ngân hàng TMCP,Ngân hàng TMCP,,,,,,,,,,,,
Ngoại thương Việt Nam,Ngân hàng TMCP > Ngoại thương Việt Nam,Ngoại thương Việt Nam,108.814.100.000,89.588.779.150,(19.225.320.850),108.814.100.000,82.180.404.900,(26.633.695.100),108814100000.0,89588779150.0,-19225320850.0,108814100000.0,82180404900.0,-26633695100.0
Tổng Công ty Cổ phần,Tổng Công ty Cổ phần,Tổng Công ty Cổ phần,,,,,,,,,,,,
Tái bảo hiểm Quốc gia Việt Nam,Tổng Công ty Cổ phần > Tái bảo hiểm Quốc gia Việt Nam,Tái bảo hiểm Quốc gia Việt Nam,69.901.560.000,69.901.560.000,-,69.901.560.000,69.901.560.000,-,69901560000.0,69901560000.0,,69901560000.0,69901560000.0,
Công ty Cổ phần Vận tải biển,Công ty Cổ phần Vận tải biển,Công ty Cổ phần Vận tải biển,,,,,,,,,,,,
Việt Nam,Công ty Cổ phần Vận tải biển > Việt Nam,Việt Nam,59.587.500.000,3.060.000.000,(56.527.500.000),59.587.500.000,8.100.000.000,(51.487.500.000),59587500000.0,3060000000.0,-56527500000.0,59587500000.0,8100000000.0,-51487500000.0
Khác,Công ty Cổ phần Vận tải biển > Khác,Khác,45.334.424.922,45.334.424.922,-,52.163.513.361,48.283.828.537,(3.879.684.824),45334424922.0,45334424922.0,,52163513361.0,48283828537.0,-3879684824.0
,,,427.637.584.922,258.764.764.072,(168.872.820.850),434.466.673.361,259.006.593.437,(175.460.079.924),427637584922.0,258764764072.0,-168872820850.0,434466673361.0,259006593437.0,-175460079924.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,,,
Công ty Cổ phần Tập đoàn SSG,Cổ phiếu chưa niêm yết > Công ty Cổ phần Tập đoàn SSG,Công ty Cổ phần Tập đoàn SSG,225.000.000.000,225.000.000.000,-,225.000.000.000,225.000.000.000,-,225000000000.0,225000000000.0,,225000000000.0,225000000000.0,
Công ty Cổ phần Tập đoàn HiPT,Cổ phiếu chưa niêm yết > Công ty Cổ phần Tập đoàn HiPT,Công ty Cổ phần Tập đoàn HiPT,56.925.000.000,8.742.936.400,(48.182.063.600),63.250.000.000,13.026.090.800,(50.223.909.200),56925000000.0,8742936400.0,-48182063600.0,63250000000.0,13026090800.0,-50223909200.0
Ngân hàng TMCP Hàng hải Việt Nam,Cổ phiếu chưa niêm yết > Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,39.375.420.000,25.596.268.600,(13.779.151.400),39.375.420.000,17.335.801.917,(22.039.618.083),39375420000.0,25596268600.0,-13779151400.0,39375420000.0,17335801917.0,-22039618083.0
Khác,Cổ phiếu chưa niêm yết > Khác,Khác,21.991.634.000,21.991.634.000,-,45.000.000.000,45.000.000.000,-,21991634000.0,21991634000.0,,45000000000.0,45000000000.0,
,,,343.292.054.000,281.330.839.000,(61.961.215.000),372.625.420.000,300.361.892.717,(72.263.527.283),343292054000.0,281330839000.0,-61961215000.0,372625420000.0,300361892717.0,-72263527283.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,,,
"Quỹ Đầu tư Cổ phiếu Năng độngBảo Việt (""BVFED"")","Chứng chỉ quỹ > Quỹ Đầu tư Cổ phiếu Năng độngBảo Việt (""BVFED"")","Quỹ Đầu tư Cổ phiếu Năng độngBảo Việt (""BVFED"")",25.000.000.000,25.000.000.000,-,25.000.000.000,25.000.000.000,-,25000000000.0,25000000000.0,,25000000000.0,25000000000.0,
"Quỹ Đầu tư Cổ phiếu Triển vọngBảo Việt (""BVPF"")","Chứng chỉ quỹ > Quỹ Đầu tư Cổ phiếu Triển vọngBảo Việt (""BVPF"")","Quỹ Đầu tư Cổ phiếu Triển vọngBảo Việt (""BVPF"")",20.000.000.000,20.000.000.000,-,-,-,-,20000000000.0,20000000000.0,,,,
,,,45.000.000.000,45.000.000.000,-,25.000.000.000,25.000.000.000,-,45000000000.0,45000000000.0,,25000000000.0,25000000000.0,
,,,815.929.638.922,585.095.603.072,(230.834.035.850),832.092.093.361,584.368.486.154,(247.723.607.207),815929638922.0,585095603072.0,-230834035850.0,832092093361.0,584368486154.0,-247723607207.0
