row_label_raw,row_label_full,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,379.000.000.000,-,numeric__31,numeric__379.000.000.000,numeric__-
2. Tiền mua lại cổ phiếu của doanh nghiệp đã phát hành,2. Tiền mua lại cổ phiếu của doanh nghiệp đã phát hành,2. Tiền mua lại cổ phiếu của doanh nghiệp đã phát hành,32,-,(40.111.223.937),32.0,,-40111223937.0
3. Tiền thu từ đi vay,3. Tiền thu từ đi vay,3. Tiền thu từ đi vay,33,7.529.327.895.772,4.123.189.844.032,33.0,7529327895772.0,4123189844032.0
4. Tiền trả nợ gốc vay,4. Tiền trả nợ gốc vay,4. Tiền trả nợ gốc vay,34,(6.101.911.453.702),(5.724.457.031.633),34.0,-6101911453702.0,-5724457031633.0
5. Tiền trả nợ gốc thuê tài chính,5. Tiền trả nợ gốc thuê tài chính,5. Tiền trả nợ gốc thuê tài chính,35,(47.147.587.149),(38.634.958.934),35.0,-47147587149.0,-38634958934.0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(8.999.514.572.611),(5.519.637.734.500),36.0,-8999514572611.0,-5519637734500.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(7.240.245.717.690),(7.199.651.104.972),40.0,-7240245717690.0,-7199651104972.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(4.211.363.284.686),(6.331.387.225.695),50.0,-4211363284686.0,-6331387225695.0
Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,17.748.332.404.746,24.080.005.607.944,60.0,17748332404746.0,24080005607944.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đối ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đối ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đối ngoại tệ,61,591.788.276,(285.977.503),61.0,591788276.0,-285977503.0
Tiền và tương đương tiền cuối năm (70=50+60+61),Tiền và tương đương tiền cuối năm (70=50+60+61),Tiền và tương đương tiền cuối năm (70=50+60+61),70,13.537.560.908.336,17.748.332.404.746,70.0,13537560908336.0,17748332404746.0
