row_label_raw,row_label_full,col_0,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năngtrả ndVND,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năngtrả ndVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năngtrả ndVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năngtrả ndVND
Abu Dhabi National Oil Company(ADNOC),Abu Dhabi National Oil Company(ADNOC),Abu Dhabi National Oil Company(ADNOC),416.575.744.000,416.575.744.000,-,-,416575744000.0,416575744000.0,,
Tổng Công ty Cổ phần Dịch vụ Kỹ thuậtDầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuậtDầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuậtDầu khí Việt Nam,263.217.117.733,263.217.117.733,170.541.465.913,170.541.465.913,263217117733.0,263217117733.0,170541465913.0,170541465913.0
Astomos Energy Corporation,Astomos Energy Corporation,Astomos Energy Corporation,225.430.046.339,225.430.046.339,252.881.638.200,252.881.638.200,225430046339.0,225430046339.0,252881638200.0,252881638200.0
Công ty TNHH Một thành viên Lọc hóadầu Bình Sơn,Công ty TNHH Một thành viên Lọc hóadầu Bình Sơn,Công ty TNHH Một thành viên Lọc hóadầu Bình Sơn,683.919.727.236,683.919.727.236,431.640.534.777,431.640.534.777,683919727236.0,683919727236.0,431640534777.0,431640534777.0
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,178.006.615.026,178.006.615.026,268.570.470.013,268.570.470.013,178006615026.0,178006615026.0,268570470013.0,268570470013.0
Petredec International Pte Ltd,Petredec International Pte Ltd,Petredec International Pte Ltd,110.368.726.611,110.368.726.611,-,-,110368726611.0,110368726611.0,,
Công ty Shell International EasternTrading,Công ty Shell International EasternTrading,Công ty Shell International EasternTrading,26.253.429.622,26.253.429.622,241.648.322.046,241.648.322.046,26253429622.0,26253429622.0,241648322046.0,241648322046.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,539.920.535.868,539.920.535.868,508.148.554.969,508.148.554.969,539920535868.0,539920535868.0,508148554969.0,508148554969.0
,,,2.443.691.942.435,2.443.691.942.435,1.873.430.985.918,1.873.430.985.918,2443691942435.0,2443691942435.0,1873430985918.0,1873430985918.0
Phải trả người bán là các bên liênquan (chi tiết trình bày tại Thuyếtminh số 41),Phải trả người bán là các bên liênquan (chi tiết trình bày tại Thuyếtminh số 41),Phải trả người bán là các bên liênquan (chi tiết trình bày tại Thuyếtminh số 41),1.321.795.319.949,,1.046.819.807.829,,1321795319949.0,,1046819807829.0,
