row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm đã phát hành VND,Trình bày lại VND,Số đầu năm trình bày lại VND,numeric__Chỉ tiêu,numeric__Số đầu năm đã phát hành VND,numeric__Trình bày lại VND,numeric__Số đầu năm trình bày lại VND
1,1,1,Trả trước cho người bán ngắn hạn,927.894.847.686,(63.635.199.667),864.259.648.019,,927894847686.0,-63635199667.0,864259648019.0
2,2,2,Phải thu ngắn hạn khác,4.064.220.566.010,(54.356.678.856),4.009.863.887.154,,4064220566010.0,-54356678856.0,4009863887154.0
3,3,3,Trả trước cho người bán dài hạn,-,63.635.199.667,63.635.199.667,,,63635199667.0,63635199667.0
4,4,4,Phải thu dài hạn khác,22.782.850.117,54.356.678.856,77.139.528.973,,22782850117.0,54356678856.0,77139528973.0
