row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,"Bản quyền, bằng sáng chế",Nhân hiệu hàng hóa,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,"numeric__Bản quyền, bằng sáng chế",numeric__Nhân hiệu hàng hóa,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,330.814.401.892,75.518.030.126,1.464.370.376,4.288.007.246,68.800.000,412.153.609.640,330814401892.0,75518030126.0,1464370376.0,4288007246.0,68800000.0,412153609640.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,45.780.934.000,15.562.405.490,-,-,-,61.343.339.490,45780934000.0,15562405490.0,,,,61343339490.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,-,-,(4.288.007.246),-,(4.288.007.246),,,,-4288007246.0,,-4288007246.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,376.595.335.892,91.080.435.616,1.464.370.376,-,68.800.000,469.208.941.884,376595335892.0,91080435616.0,1464370376.0,,68800000.0,469208941884.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,5.215.171.295,48.008.554.012,892.706.077,-,68.800.000,54.185.231.384,5215171295.0,48008554012.0,892706077.0,,68800000.0,54185231384.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,856.058.296,13.870.791.750,176.266.805,-,-,14.903.116.851,856058296.0,13870791750.0,176266805.0,,,14903116851.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,6.071.229.591,61.879.345.762,1.068.972.882,-,68.800.000,69.088.348.235,6071229591.0,61879345762.0,1068972882.0,,68800000.0,69088348235.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,370.524.106.301,29.201.089.854,395.397.494,-,-,400.120.593.649,370524106301.0,29201089854.0,395397494.0,,,400120593649.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,325.599.230.597,27.509.476.114,571.664.299,4.288.007.246,-,357.968.378.256,325599230597.0,27509476114.0,571664299.0,4288007246.0,,357968378256.0
