row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tải và thiết bị truyền dẫn,Thiết bịvăn phòng,Tài sảncố định khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tải và thiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,5.946.254.913.937,4.906.564.229.543,764.667.109.749,242.093.981.399,25.821.436.472.418,37.681.016.707.046,5946254913937.0,4906564229543.0,764667109749.0,242093981399.0,25821436472418.0,37681016707046.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,172.916.942.955,256.610.434.423,21.998.406.631,2.135.285.000,4.943.986.146.675,5.397.647.215.684,172916942955.0,256610434423.0,21998406631.0,2135285000.0,4943986146675.0,5397647215684.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,6.154.427.503,30.509.176.843,2.198.776.218,21.501.960.236,38.021.688.125,98.386.028.925,6154427503.0,30509176843.0,2198776218.0,21501960236.0,38021688125.0,98386028925.0
Chuyển sang từ Tài sản thuê tài chính,NGUYÊN GIÁ > Chuyển sang từ Tài sản thuê tài chính,Chuyển sang từ Tài sản thuê tài chính,-,135.284.593.646,-,-,-,135.284.593.646,,135284593646.0,,,,135284593646.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.548.605.657),(1.618.328.248),(582.871.904),(2.504.074.480),(259.478.936),(9.513.359.225),-4548605657.0,-1618328248.0,-582871904.0,-2504074480.0,-259478936.0,-9513359225.0
Điều chính theo quyết toán,NGUYÊN GIÁ > Điều chính theo quyết toán,Điều chính theo quyết toán,(808.943.291),5.779.414.877,-,(4.700.145.455),-,270.326.131,-808943291.0,5779414877.0,,-4700145455.0,,270326131.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,3.764.635.114,298.222.503.888,-,-,(301.987.139.002),-,3764635114.0,298222503888.0,,,-301987139002.0,
Phân loại sang Bất động sản đầu tư,NGUYÊN GIÁ > Phân loại sang Bất động sản đầu tư,Phân loại sang Bất động sản đầu tư,(25.306.253.729),-,-,-,-,(25.306.253.729),-25306253729.0,,,,,-25306253729.0
Tăng/(Giảm) khác,NGUYÊN GIÁ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,(33.222.649),(2.090.731.792),277.815.164,295.878.236,(88.587.545),(1.638.848.586),-33222649.0,-2090731792.0,277815164.0,295878236.0,-88587545.0,-1638848586.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.098.393.894.183,5.629.261.293.180,788.559.235.858,258.822.884.936,30.501.109.101.735,43.276.146.409.892,6098393894183.0,5629261293180.0,788559235858.0,258822884936.0,30501109101735.0,43276146409892.0
