row_label_raw,row_label_full,col_0,Dự phòng giảm giáđầu tư vào công ty conVND,Lợi nhuận chuạthực hiệnVND,Tổng cộngVND,numeric__Dự phòng giảm giáđầu tư vào công ty conVND,numeric__Lợi nhuận chuạthực hiệnVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,44.924.303.926,-,44.924.303.926,44924303926.0,,44924303926.0
Điều chỉnh do thay đổi thuế suất,Điều chỉnh do thay đổi thuế suất,Điều chỉnh do thay đổi thuế suất,(4.084.027.630),-,(4.084.027.630),-4084027630.0,,-4084027630.0
Ghi nhận trong năm,Ghi nhận trong năm,Ghi nhận trong năm,35.862.837.996,13.524.122.859,49.386.960.855,35862837996.0,13524122859.0,49386960855.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,76.703.114.292,13.524.122.859,90.227.237.151,76703114292.0,13524122859.0,90227237151.0
