row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn- Tiền gửi có kỳ hạn,Số cuối năm > Giá gốcVND > 5.898.450.000.000 > Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị ghi sốVND > 5.898.450.000.000 > Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữuVND,Số cuối năm > Giá trị ghi sốVND > 5.898.450.000.000 > Số cuối năm > Giá trị hợp lýVND,Số đầu năm > Giá gốcVND > 6.099.320.000.000 > Số đầu năm > Giá gốcVND,Số đầu năm > Giá trị ghi sốVND > 6.099.320.000.000 > Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữuVND,Số đầu năm > Giá trị ghi sốVND > 6.099.320.000.000 > Số đầu năm > Giá trị hợp lýVND,numeric__Số cuối năm > Giá gốcVND > 5.898.450.000.000 > Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị ghi sốVND > 5.898.450.000.000 > Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữuVND,numeric__Số cuối năm > Giá trị ghi sốVND > 5.898.450.000.000 > Số cuối năm > Giá trị hợp lýVND,numeric__Số đầu năm > Giá gốcVND > 6.099.320.000.000 > Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Giá trị ghi sốVND > 6.099.320.000.000 > Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữuVND,numeric__Số đầu năm > Giá trị ghi sốVND > 6.099.320.000.000 > Số đầu năm > Giá trị hợp lýVND
"Đầu tư vào Công ty liên doanh, liên kếtCông ty Cổ phần Đầu tư Phát triển Gas đô thị","Đầu tư vào Công ty liên doanh, liên kếtCông ty Cổ phần Đầu tư Phát triển Gas đô thị","Đầu tư vào Công ty liên doanh, liên kếtCông ty Cổ phần Đầu tư Phát triển Gas đô thị",48.240.000.000,73.962.636.311,57.620.000.000,48.240.000.000,75.741.527.821,33.500.000.000,48240000000.0,73962636311.0,57620000000.0,48240000000.0,75741527821.0,33500000000.0
Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom,Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom,Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom,58.000.000.000,58.323.195.272,58.323.195.272,-,-,-,58000000000.0,58323195272.0,58323195272.0,,,
,,,106.240.000.000,132.285.831.583,115.943.195.272,48.240.000.000,75.741.527.821,33.500.000.000,106240000000.0,132285831583.0,115943195272.0,48240000000.0,75741527821.0,33500000000.0
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,,,,,,
Đầu tư vào đơn vị khácCông ty Cổ phần Năng lượng Vinabenny,Đầu tư vào đơn vị khácCông ty Cổ phần Năng lượng Vinabenny,Đầu tư vào đơn vị khácCông ty Cổ phần Năng lượng Vinabenny,50.000.000.000,(50.000.000.000),-,50.000.000.000,(50.000.000.000),-,50000000000.0,-50000000000.0,,50000000000.0,-50000000000.0,
Công ty Cổ phần Đầu tư và Kinh doanh Tài sản Việt Nam,Công ty Cổ phần Đầu tư và Kinh doanh Tài sản Việt Nam,Công ty Cổ phần Đầu tư và Kinh doanh Tài sản Việt Nam,25.000.000.000,(25.000.000.000),-,25.000.000.000,(25.000.000.000),-,25000000000.0,-25000000000.0,,25000000000.0,-25000000000.0,
Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng Đơn vị khác,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng Đơn vị khác,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng Đơn vị khác,10.000.000.000,-,10.000.000.000,10.000.000.000,-,10.000.000.000,10000000000.0,,10000000000.0,10000000000.0,,10000000000.0
Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng Đơn vị khác,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng Đơn vị khác,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng Đơn vị khác,1.920.000.000,-,1.920.000.000,-,-,-,1920000000.0,,1920000000.0,,,
,,,86.920.000.000,(75.000.000.000),11.920.000.000,85.000.000.000,(75.000.000.000),10.000.000.000,86920000000.0,-75000000000.0,11920000000.0,85000000000.0,-75000000000.0,10000000000.0
