row_label_raw,row_label_full,col_0,Năm nay > Số năm,numeric__Năm nay > Số năm
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",5,5.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,3 - 6,
