row_label_raw,row_label_full,Kho chứa LNG quy mô 1 triệu tấn/năm tại Thị Vải,Số cuối nămVND > 5.505.235.066.160,Số đầu nămVND > 5.438.838.938.480,numeric__Số cuối nămVND > 5.505.235.066.160,numeric__Số đầu nămVND > 5.438.838.938.480
Nhà máy xử lý khí Cà Mau,Nhà máy xử lý khí Cà Mau,Nhà máy xử lý khí Cà Mau,7.339.317.320.149,9.917.447.008.596,7339317320149.0,9917447008596.0
Kho cảng nhập khẩu LNG Sơn Mỹ,Kho cảng nhập khẩu LNG Sơn Mỹ,Kho cảng nhập khẩu LNG Sơn Mỹ,33.583.719.522.095,33.182.844.683.588,33583719522095.0,33182844683588.0
Đường ống dẫn khí Nam Côn Sơn 2,Đường ống dẫn khí Nam Côn Sơn 2,Đường ống dẫn khí Nam Côn Sơn 2,2.559.903.218.466,3.435.414.728.298,2559903218466.0,3435414728298.0
Hệ thống cấp khí cho Công ty TNHH Intermalt Việt Nam,Hệ thống cấp khí cho Công ty TNHH Intermalt Việt Nam,Hệ thống cấp khí cho Công ty TNHH Intermalt Việt Nam,59.779.977.489,-,59779977489.0,
Khác,Khác,Khác,41.888.125.812,-,41888125812.0,
,,,49.089.843.230.171,51.974.545.358.962,49089843230171.0,51974545358962.0
