row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1
1. Hàng hóa nhận giữ hộ (VND),1. Hàng hóa nhận giữ hộ (VND),1. Hàng hóa nhận giữ hộ (VND),6.491.240.400,7.911.540.200,6491240400.0,7911540200.0
2. Ngoại tệ các loại,2. Ngoại tệ các loại,2. Ngoại tệ các loại,,,,
USD,2. Ngoại tệ các loại > USD,USD,3.692.877,10.851.869,3692877.0,10851869.0
EUR,2. Ngoại tệ các loại > EUR,EUR,1.423,1.448,1423.0,1448.0
